Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;387092480;9822208;408952832;0;0;0;0;0;0;0;0;0;
2;16203809;392380416;9822208;408952832;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;4260031;394747904;9822208;408952832;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1260970;394747904;9822208;408952832;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;560331;394747904;9822208;408952832;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;1538148;395415552;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;558339;395612160;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;563120;395882496;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;546775;396144640;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;494776;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;539320;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;881853;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;482936;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;536686;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;468710;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;514009;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;459323;396365824;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;521089;396570624;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;472076;396570624;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;501270;396570624;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;471700;396570624;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;505542;396808192;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;479249;396808192;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;506603;397291520;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;457210;397832192;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;511562;398102528;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;476940;398102528;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;530646;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;826152;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;653871;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;805580;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;547179;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;460824;398331904;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;533683;398499840;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;483644;398499840;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;530567;398499840;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;463372;398499840;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;523922;398499840;9822208;442507264;0;0;0;0;0;0;0;0;0;0;0;0;0;
