Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
60;523176;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;514805;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;518595;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;522599;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;512535;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;480086;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;554054;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;530557;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;545080;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;520029;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;549605;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;525357;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;950457;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;486543;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;526263;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;486856;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;499040;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;511980;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;546294;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;490221;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;522501;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;473248;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;531018;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;477394;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;536799;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;532389;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;531390;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;551269;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;512295;408780800;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;572646;408969216;8134656;440819712;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;2341820;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;548243;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;517686;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;535138;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;514555;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;525063;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;474111;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;523266;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;465663;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;1022272;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;496103;408969216;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;476850;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;527206;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;2976986;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;580593;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;512123;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;523270;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;543379;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;516788;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;517499;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;513675;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;487617;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;509352;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;505537;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;503501;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;496265;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;507311;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;492773;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;492606;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;467619;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;495175;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;494513;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;505238;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;476978;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;502391;409223168;8196096;440881152;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;5681790;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
126;560212;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
127;521541;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
128;536125;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
129;500717;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
130;517710;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
131;501014;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
132;487451;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
133;501993;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
134;496323;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
135;508272;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
136;500796;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
137;567605;409739264;8196096;440881152;0;0;0;0;0;0;0;0;0;0;9;0;0;
