Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
69;481105;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;554368;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;890818;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;484089;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;509362;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;460240;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;519505;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;467787;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;509734;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
78;453387;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
79;513667;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
80;455472;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
81;504752;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
82;455994;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
83;498767;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
84;471206;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
85;522545;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
86;451504;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
87;510139;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
88;457786;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
89;527439;393297920;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
90;543362;393469952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
91;512379;393469952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
92;506232;393469952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
93;497308;393469952;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
94;525124;393736192;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
95;470905;393736192;9842688;442527744;0;0;0;0;0;0;0;0;0;0;0;0;0;
96;3197795;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
97;486369;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
98;966401;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
99;478254;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
100;512485;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
101;473486;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
102;525768;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
103;490821;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
104;502362;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
105;450016;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
106;500343;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
107;515493;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
108;489980;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
109;522578;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
110;517510;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
111;511347;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
112;490593;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
113;502677;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
114;499151;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
115;529606;393736192;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
116;2842066;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
117;563418;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
118;505763;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
119;460298;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
120;527712;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
121;499249;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
122;487565;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
123;487674;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
124;485230;393981952;9904128;442589184;0;0;0;0;0;0;0;0;0;0;0;0;0;
125;6183401;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
126;568841;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
127;505424;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
128;501556;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
129;507331;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
130;517833;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
131;509489;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
132;493137;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
133;510696;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
134;485637;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
135;503726;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
136;500802;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
137;529279;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
138;541088;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
139;482831;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
140;504471;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
141;501311;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
142;498081;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
143;472686;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
144;513698;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
145;531165;396845056;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
146;1928896;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
147;532961;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
148;506686;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
149;518454;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
150;494350;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
151;517400;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
152;478642;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
153;513053;397078528;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
154;454459;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
155;513627;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
156;485811;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
157;501166;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
158;464536;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
159;512182;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
160;494692;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
161;509231;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
162;455182;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
163;518750;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
164;457752;397324288;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
165;510111;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
166;454162;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
167;1550807;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
168;496635;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
169;520331;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
170;450513;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
171;494009;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
172;452784;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
173;502073;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
174;1137051;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
175;521960;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
176;515731;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
177;520921;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
178;512739;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
179;501279;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
180;491763;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
181;475281;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
182;483367;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
183;494627;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
184;495924;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
185;504748;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
186;461243;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
187;496826;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
188;494948;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
189;505840;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
190;448726;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
191;497723;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
192;544146;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
193;510181;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
194;460094;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
195;482349;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
196;461960;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
197;497740;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
198;499236;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
199;495460;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
200;491647;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
201;496124;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
202;479933;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
203;505809;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
204;467436;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
205;486970;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
206;1073591;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
207;471184;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
208;494328;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
209;490484;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
210;486231;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
211;481603;397594624;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
212;492196;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
213;478294;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
214;485140;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
215;489909;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
216;532477;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
217;511153;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
218;519124;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
219;497844;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
220;509119;397848576;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
221;483977;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
222;492989;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
223;476635;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
224;1130947;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
225;503476;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
226;523482;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
227;530449;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
228;557457;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
229;540416;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
230;509802;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
231;475067;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
232;504456;398118912;9904128;442589184;0;0;0;0;0;0;0;0;0;0;27;0;0;
