Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
1;0;444104704;8245248;407375872;0;0;0;0;0;0;0;0;0;
2;16352763;456630272;8245248;407375872;0;0;0;0;0;0;0;0;0;0;0;0;0;
3;3924904;458948608;8245248;407375872;0;0;0;0;0;0;0;0;0;0;0;0;0;
4;1170893;458948608;8245248;407375872;0;0;0;0;0;0;0;0;0;0;0;0;0;
5;530178;458948608;8245248;407375872;0;0;0;0;0;0;0;0;0;0;0;0;0;
6;9658885;496959488;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
7;1362878;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
8;482387;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
9;519868;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
10;463763;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
11;513258;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
12;476228;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
13;499699;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
14;469571;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
15;543579;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
16;501746;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
17;517906;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
18;547246;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
19;543092;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
20;509995;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
21;532959;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
22;524822;497197056;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
23;468060;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
24;509878;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
25;855382;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
26;631081;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
27;1447156;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
28;518191;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
29;519890;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
30;499179;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
31;532953;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
32;484033;497332224;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
33;525255;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
34;460024;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
35;500491;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
36;468390;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
37;514508;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
38;481242;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
39;526321;497553408;8245248;440930304;0;0;0;0;0;0;0;0;0;0;0;0;0;
