Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
60;484876;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;533784;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;489250;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;476934;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;484383;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;490567;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;495782;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
67;480930;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;488462;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;477162;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;486224;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;536457;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;485010;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;483989;504848384;9342976;442028032;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;4827022;504848384;9404416;442089472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;744269;504848384;9404416;442089472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;502745;504848384;9404416;442089472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;484321;504848384;9404416;442089472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
