filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,players,Chunks,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
players-activeLogic_TerrainCircuitry_10p_300s.csv,3615218.7424957617,251723.4140534475,0.0,25810.782380133434,16199.003415175577,1924.2442948272287,95.8783099759718,0.1908229353434081,1594.71749179748,171.29137546196347,902.4216034249332,10,25,3363495.328442314,206886.96235988633,62.16629465646997
players-activeLogic_TerrainCircuitry_20p_300s.csv,3810227.402336078,309970.3158357165,0.0,52291.480446542395,16424.6769286428,3016.540554043345,116.14802053543741,0.263532370878269,2338.522017020983,493.1803914137064,813.8814216311201,20,25,3500257.0865003616,237423.73648485684,68.4265927023398
players-activeLogic_TerrainCircuitry_30p_300s.csv,3875396.3090614253,361136.48189415043,0.0,76175.18431480246,16090.602325186028,2313.3026665097364,126.19563994925916,0.24052205526567016,1906.3151294022257,207.89884525350806,874.6245700759805,30,25,3514259.827167275,265682.7680175762,72.65252984947756
players-activeLogic_TerrainCircuitry_40p_300s.csv,4317501.129049621,481752.13037343073,0.0,119734.12083036324,20846.793631166263,7416.798460889426,157.76009950393507,0.26909704543140195,5797.863283920804,538.6422804439854,1062.7697734976216,40,25,3835748.9986761897,332691.6476775141,922.2636999752704
players-activeLogic_TerrainCircuitry_50p_300s.csv,5411372.75663337,739196.8283815124,0.0,225036.72188236154,31341.966728145944,10446.736911305492,285.35377367104326,0.7834955534047954,8590.948832198097,332.4710834352915,1546.1911579408704,50,25,4672175.928251858,470825.21170175856,1237.1797264476554
players-activeLogic_TerrainCircuitry_60p_300s.csv,6077225.309458934,1046584.2115916495,0.0,309730.6404703858,37694.468275593616,30424.015857081395,431.63739730798386,0.9884042531396612,24612.73659625904,794.1556001720924,1743.5861588576345,60,25,5030641.097867284,666991.5008297311,4584.497859089137
players-activeLogic_TerrainCircuitry_70p_300s.csv,6222953.224165174,1210984.830633098,0.0,366383.1784683451,37655.35078478879,28071.69714526493,481.7442747287475,1.0126619614452754,18978.653007479195,4357.429369008743,1835.92518697988,70,25,5011968.393532076,777038.6790477193,4252.8578320868
players-activeLogic_TerrainCircuitry_80p_300s.csv,7278215.381660693,1684354.7667264037,0.0,502140.617921147,45908.99026284349,22868.3188172043,746.481421744325,1.788888888888889,17355.437873357227,1959.4925328554361,2077.5353643966546,80,25,5593860.61493429,1111359.3043608123,2805.1181003584243
players-activeLogic_TerrainCircuitry_90p_300s.csv,7802816.617341626,2194395.9332870604,0.0,615837.1729624389,46917.9050695427,56815.90221308631,948.0301663151713,2.2537974852505407,39939.95258816306,6173.997116847753,2095.08569369177,90,25,5608420.684054567,1472729.8673483008,9751.668544275068
players-activeLogic_TerrainCircuitry_100p_300s.csv,54462440.31661562,45133218.83212098,0.0,3927141.8772970904,219552.46803215926,824524.3104900459,20776.34437212864,62.042687595712096,567193.8451378255,61517.92017611026,9585.087289433384,100,25,9329221.484494641,40152415.08901225,174974.15811638592
