filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Chunks,players,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
players_Empty_10p_300s.csv,3829443.866600189,207690.37981584843,0.0,21603.62356414872,0.0,0.0,0.0,0.0,0.0,0.0,1013.5309444566751,25,10,3621753.4867843403,185073.22530724303,0.0
players_Empty_20p_300s.csv,3863578.4146039765,228460.40386192888,0.0,34878.75411778493,0.0,0.0,0.0,0.0,0.0,0.0,987.8924362964024,25,20,3635118.010742048,192593.75730784755,0.0
players_Empty_30p_300s.csv,3856455.5314471545,248780.07279349593,0.0,44623.609365853656,0.0,0.0,0.0,0.0,0.0,0.0,924.6984975609756,25,30,3607675.4586536586,203231.7649300813,0.0
players_Empty_40p_300s.csv,4061375.4304868863,304391.4733684859,0.0,66079.38123673218,0.0,0.0,0.0,0.0,0.0,0.0,955.3563651304527,25,40,3756983.9571184004,237356.7357666233,0.0
players_Empty_50p_300s.csv,3926698.71145952,303446.7998490426,0.0,70303.55429169205,0.0,0.0,0.0,0.0,0.0,0.0,816.4334728144283,25,50,3623251.911610477,232326.81208453613,0.0
players_Empty_60p_300s.csv,4153778.443189145,358094.4380589274,0.0,92275.41333295955,0.0,0.0,0.0,0.0,0.0,0.0,902.1703064113706,25,60,3795684.0051302174,264916.8544195565,0.0
players_Empty_70p_300s.csv,4140038.490589009,384887.40971746034,0.0,104546.72512909501,0.0,0.0,0.0,0.0,0.0,0.0,892.4582907681328,25,70,3755151.080871549,279448.22629759717,0.0
players_Empty_80p_300s.csv,4366562.140522681,452892.33734670794,0.0,134216.17887546137,0.0,0.0,0.0,0.0,0.0,0.0,970.3450559590427,25,80,3913669.8031759732,317705.8134152875,0.0
players_Empty_90p_300s.csv,4834468.969337404,560394.4673983002,0.0,184508.00674973184,0.0,0.0,0.0,0.0,0.0,0.0,1113.895139863025,25,90,4274074.501939104,374772.56550870533,0.0
players_Empty_100p_300s.csv,5114132.21680836,662482.3049946865,0.0,236501.67832093517,0.0,0.0,0.0,0.0,0.0,0.0,1282.4342189160468,25,100,4451649.911813674,424698.1924548353,0.0
