timestamp,cpu_percent,rss
1721943352.6237288,11.1,3549896704
1721943353.6241043,17.8,3559964672
1721943354.6245902,18.6,3557093376
1721943355.6252334,20.7,3565191168
1721943356.6256855,20.1,3613454336
1721943357.6261787,20.2,3634966528
1721943358.6267998,20.7,3661791232
1721943359.6274621,20.2,3684413440
1721943360.627935,22.0,3669622784
1721943361.6286561,20.3,3662667776
1721943362.6292799,20.5,3661692928
1721943363.6298172,20.7,3800342528
1721943364.6303737,25.8,4106645504
1721943365.6308715,29.9,4422176768
1721943366.6313982,34.3,4725723136
1721943367.6318746,34.3,4967940096
1721943368.6323426,35.4,5282885632
1721943369.6328459,35.5,5544398848
1721943370.633281,30.4,5523558400
1721943371.6338677,30.1,5564928000
1721943372.6343334,29.3,5608513536
1721943373.6348104,28.3,5658464256
1721943374.6352699,29.6,5636722688
1721943375.6357536,28.3,5661982720
1721943376.6364217,26.7,5622833152
1721943377.6368835,26.9,5640253440
1721943378.6373565,26.1,5716951040
1721943379.6379533,26.6,5875326976
1721943380.6385021,26.9,5852622848
1721943381.639014,26.1,5852233728
1721943382.6394882,26.2,5891059712
1721943383.6400845,26.3,5905989632
1721943384.6406798,26.4,5882589184
1721943385.6412003,26.0,6014050304
1721943386.641809,26.0,6037475328
1721943387.6423266,26.2,6113718272
1721943388.6428084,27.0,5977284608
1721943389.6433113,26.2,6080454656
1721943390.6438484,26.3,6079590400
1721943391.6443217,27.0,6054756352
1721943392.6449597,25.9,6042087424
1721943393.6454906,26.2,6214447104
1721943394.6460373,24.5,6141693952
1721943395.6465135,25.0,6104547328
1721943396.6469848,25.4,6102835200
1721943397.647437,24.9,6084751360
1721943398.6479025,25.2,6242574336
1721943399.6484482,24.5,6296768512
1721943400.6489952,25.0,6296567808
1721943401.6494558,25.2,6339080192
1721943402.6499639,24.7,6457192448
1721943403.6504843,24.9,6410473472
1721943404.6510067,25.0,6349799424
1721943405.6514993,24.4,6343409664
1721943406.65203,24.2,6435954688
1721943407.6527042,24.8,6549258240
1721943408.6532223,24.4,6549024768
1721943409.653807,24.5,6555635712
1721943410.6544662,25.1,6532837376
1721943411.654962,24.3,6567112704
1721943412.6554854,25.0,6563381248
1721943413.6560113,24.6,6649991168
1721943414.6564753,24.1,6652116992
1721943415.6570833,24.5,6672830464
1721943416.6575856,25.0,6694727680
1721943417.658206,24.3,6705295360
1721943418.658684,25.0,6823886848
1721943419.6594586,24.8,6824730624
1721943420.6600225,24.6,6887370752
1721943421.6605182,24.7,6931341312
1721943422.661081,24.5,7046684672
1721943423.661598,25.3,6975762432
1721943424.6620605,24.9,6938968064
1721943425.6625507,24.8,6953648128
1721943426.663025,24.7,7062573056
1721943427.6636393,23.9,7040446464
1721943428.6641915,24.3,7061446656
1721943429.6647415,24.8,7124627456
1721943430.665263,25.0,7054389248
1721943431.6657314,24.1,7274139648
1721943432.6662364,24.9,7295164416
1721943433.6666896,24.4,7219236864
1721943434.6672072,24.6,7227789312
1721943435.667671,24.8,7152631808
1721943436.6681044,25.4,7201800192
1721943437.6685793,24.5,7314378752
1721943438.66908,24.7,7319003136
1721943439.6695755,23.9,7424475136
1721943440.6700613,25.1,7453020160
1721943441.6706946,24.0,7492497408
1721943442.6712027,24.7,7618129920
1721943443.6717284,25.0,7558184960
1721943444.6721785,25.3,7527542784
1721943445.6726484,24.5,7506804736
1721943446.673285,24.3,7735160832
1721943447.6739018,24.3,7626215424
1721943448.6743844,24.5,7741362176
1721943449.6748216,24.3,7739584512
1721943450.675449,24.7,7660630016
1721943451.6759286,24.4,7717236736
1721943452.6763859,24.1,7870361600
1721943453.676866,24.4,7887015936
1721943454.6774147,24.2,7760359424
1721943455.6779206,23.9,7888683008
1721943456.6784313,24.5,7793872896
1721943457.678891,24.1,7909330944
1721943458.6793492,23.8,8005128192
1721943459.679829,24.6,7945695232
1721943460.6803403,24.8,7915122688
1721943461.680872,24.8,7910932480
1721943462.6813703,25.0,7915020288
1721943463.6818585,24.5,7915085824
1721943464.682374,24.3,7913009152
1721943465.6828618,25.2,7915225088
1721943466.6833656,24.5,8023011328
1721943467.684046,24.1,7978041344
1721943468.6847713,24.9,8020082688
1721943469.685253,25.0,8019066880
1721943470.6857069,24.8,8018853888
1721943471.6863387,25.0,8017821696
1721943472.6867983,24.2,8125747200
1721943473.687309,24.6,8233545728
1721943474.6878355,25.1,8191336448
1721943475.6883426,24.7,8240779264
1721943476.6888926,24.8,8260796416
1721943477.6893613,24.6,8336265216
1721943478.6899588,24.5,8468869120
1721943479.6904454,25.3,8366919680
1721943480.691161,26.6,8373923840
1721943481.6917086,24.7,8479088640
1721943482.6921957,25.1,8480018432
1721943483.6926668,24.6,8551952384
1721943484.6930947,24.4,8645648384
1721943485.6935613,24.2,8628817920
1721943486.694035,24.8,8507293696
1721943487.694782,23.7,8504680448
1721943488.6952987,25.9,8650461184
1721943489.6958163,24.6,8648364032
1721943490.6963089,24.9,8625942528
1721943491.6967907,24.9,8722259968
1721943492.6972678,24.3,8831840256
1721943493.6977558,24.5,8890445824
1721943494.6982622,25.1,8770551808
1721943495.6987865,25.1,8921448448
1721943496.699243,25.3,8925192192
1721943497.6998575,24.6,8870129664
1721943498.7003608,24.1,8920186880
1721943499.7008133,24.7,9020686336
1721943500.7016265,24.5,9029865472
1721943501.7020805,25.4,9029849088
1721943502.7025774,24.5,8984993792
1721943503.7030432,24.8,9044406272
1721943504.7037187,24.9,8920473600
1721943505.704193,23.9,9066491904
1721943506.7048266,24.0,9051803648
1721943507.7054787,24.0,8960143360
1721943508.7059598,24.5,9059725312
1721943509.7067173,23.7,9166270464
1721943510.7073202,24.3,9182072832
1721943511.7077577,25.6,9194262528
