Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
60;564209;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
61;571228;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
62;533302;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
63;526717;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
64;487553;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
65;515530;389390336;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66;1400459;389656576;9723904;442408960;868980;0;0;0;0;0;0;0;0;4055;0;0;0;0;0;0;
67;581375;389656576;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
68;530081;389656576;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
69;556317;389656576;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70;575857;389656576;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
71;5439311;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
72;1115662;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
73;941725;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
74;955401;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
75;3857088;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
76;1236791;389890048;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
77;10974908;390410240;9723904;442408960;9665298;2561974;987057;0;0;0;0;0;0;12083;0;0;0;9;0;0;
78;972802;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
79;829242;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
80;809717;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
81;781263;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
82;805119;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
83;762686;390410240;9723904;442408960;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
