filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,players,Chunks,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
players-activeLogic_Empty_10p_300s.csv,3620308.305868192,195026.97946318885,0.0,18989.10831771874,0.0,1181.0502562448037,34.76055691364612,0.2091156141809473,1081.69766835842,6.701874992244407,992.8748681549133,10,25,3425281.326405003,173863.94602107038,57.68104036631212
players-activeLogic_Empty_20p_300s.csv,3751834.1573625365,232771.3958865952,0.0,32334.786227598226,0.0,1435.9463247732795,38.42023123592933,0.22354078426883403,1316.0440849136999,6.08270055074344,1027.2675493824804,20,25,3519062.761475941,197973.3957848412,75.17576728863787
players-activeLogic_Empty_30p_300s.csv,3773674.1817799313,272349.50322580646,0.0,46691.959186535765,0.0,1101.784176973097,39.71373199030983,0.23139104934336352,991.8910110926942,6.3806706617365805,1020.6409792171363,30,25,3501324.6785541247,223535.11888308046,63.56737217901309
players-activeLogic_Empty_40p_300s.csv,3695211.519851913,291727.9012252402,0.0,57341.976502587735,0.0,1864.1151196907308,35.712011887222495,0.2112374548247768,1645.1645196630275,6.931711432636974,976.0353342651707,40,25,3403483.618626673,231545.77426869655,176.09563925301904
players-activeLogic_Empty_50p_300s.csv,3783323.1842460944,325420.9943596808,0.0,69519.320523484,0.0,1277.5696332492917,36.12819379824812,0.19596860135679567,1120.1510799781665,6.134379954773477,984.7607932836015,50,25,3457902.1898864135,253639.3434096639,114.9600109167468
players-activeLogic_Empty_60p_300s.csv,3994042.387350284,393453.09591260785,0.0,95722.69742225583,0.0,1790.3062505907612,42.75567468301443,0.25102286076940733,1484.598282404094,6.6968281188814025,1066.9582213700257,60,25,3600589.291437676,294873.13401839125,256.0044425240019
players-activeLogic_Empty_70p_300s.csv,4058454.063241987,431319.0843829592,0.0,109357.61612225299,0.0,1710.2221959332508,43.72918957286607,0.2671361567688689,1493.874434593812,7.805040987599337,1056.1703246997258,70,25,3627134.978859028,319195.0757400732,164.5463946222044
players-activeLogic_Empty_80p_300s.csv,4342347.040490835,533538.7627532561,0.0,151367.61701037144,0.0,1981.7488392426435,55.43252532561505,0.2832700192957067,1764.5894235407623,9.40906898215147,1248.2671249397008,80,25,3808808.277737579,378941.12977870234,152.0345513748191
players-activeLogic_Empty_90p_300s.csv,4598344.564177671,630620.7332212885,0.0,191691.42412164866,0.0,3287.542392957183,60.17419767907163,0.3643857543017207,2707.8578151260504,9.596222488995599,1411.9446018407364,90,25,3967723.8309563827,434229.82210484194,509.5497719087639
players-activeLogic_Empty_100p_300s.csv,4618302.70973122,656105.3111969979,0.0,212141.9622971326,0.0,1985.0555038809416,59.84363974597473,0.32429918532298413,1802.0814195907371,10.504971454230548,1346.5507248701008,100,25,3962197.3985342225,440631.7426711143,112.30117390467626
