Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
10082,696901,515510272,19173376,453955584,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,49.0,0.0,1.0,
10083,5972044,515510272,19177472,453959680,5200666,734387,19702,0,0,0,0,0,0,3888,378.0,558.0,0.0,59.0,0.0,1.0,
10084,1164408,515510272,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10085,1143287,515510272,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10086,687458,515510272,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10087,1162437,515510272,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10088,732975,515510272,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10089,3802379,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10090,1456184,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10091,700542,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,59.0,0.0,1.0,
10092,2817649,517607424,19185664,453967872,2055640,670230,19556,0,0,0,0,0,0,10510,378.0,558.0,0.0,69.0,0.0,1.0,
10093,712524,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10094,1168191,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10095,701610,517607424,19185664,453967872,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10096,4449789,521801728,19185664,470745088,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10097,755212,523898880,19185664,470745088,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10098,1262060,523927552,19181568,470740992,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10099,798357,523927552,19181568,470740992,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10100,1221438,523927552,19181568,470740992,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10101,762781,523927552,19181568,470740992,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10102,3815722,523927552,19181568,470740992,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,69.0,0.0,1.0,
10103,2383246,523927552,19181568,470740992,1645212,555183,25422,0,0,0,0,0,0,4456,378.0,558.0,0.0,76.0,0.0,1.0,
10104,1322468,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
10105,733010,523919360,19173376,470732800,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
