Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21,filename,original_row_count,Unnamed: 19
2916368755.0,296421091147.0,53319238782976.0,3044485062656.0,61275349180416.0,32188721101.0,355577.0,557648596.0,0.0,69840153.0,2524386.0,92709.0,52027762.0,9103853.0,72355812.0,1073440.0,2079790.0,0.0,5098840.0,0.0,67090.0,0.0,base-activeLogic_1-Layer_1_1p_300s.csv,67090,
2941632687.0,296262345279.0,47343817097216.0,3096048893952.0,61387516379136.0,31886985504.0,382054.0,550368409.0,0.0,337227445.0,2384698.0,96556.0,300943225.0,27990515.0,70470153.0,4297344.0,8326104.0,0.0,5103096.0,0.0,67146.0,0.0,base-activeLogic_1-Layer_2_1p_300s.csv,67146,
2887033270.0,292995229573.0,53647870193664.0,2914634768384.0,59777205428224.0,32709817433.0,0.0,557748926.0,0.0,1699948697.0,2817333.0,10436819.0,1566113939.0,114214927.0,70579742.0,16712960.0,32381360.0,0.0,4961660.0,0.0,65285.0,0.0,base-activeLogic_1-Layer_4_1p_300s.csv,65285,
2932642140.0,296318741391.0,52329858179072.0,3034038784000.0,61306611945472.0,32299135684.0,426509.0,550200024.0,0.0,141910889.0,2540447.0,94217.0,118953748.0,14602134.0,72598972.0,2149120.0,4163920.0,0.0,5104160.0,0.0,67160.0,0.0,base-activeLogic_2-Layer_1_1p_300s.csv,67160,
2652492254.0,296171780679.0,52447840268288.0,3147492294656.0,59212845416448.0,32499657614.0,414838.0,559470078.0,0.0,687598095.0,2682569.0,97012.0,621504509.0,54461995.0,70579175.0,8116736.0,15726176.0,0.0,4819312.0,0.0,63412.0,0.0,base-activeLogic_2-Layer_2_1p_300s.csv,63412,
2896494051.0,292666034956.0,53341595586560.0,3134227550208.0,58929686679552.0,36871799021.0,0.0,551946308.0,0.0,4932545264.0,3255336.0,36091512.0,4671877376.0,213742699.0,70018298.0,33442816.0,64795456.0,0.0,4964168.0,0.0,65318.0,0.0,base-activeLogic_2-Layer_4_1p_300s.csv,65318,
3460340737.0,295945552605.0,37174328983552.0,3350715453440.0,68383569793024.0,32129065195.0,333519.0,650028513.0,0.0,0.0,0.0,0.0,0.0,0.0,71793117.0,0,0,0.0,5587064.0,0.0,73514.0,,base_Empty_0_1p_300s.csv,73514,0.0
3156123971.0,296411349358.0,50252144758784.0,3313168445440.0,65391673552896.0,31926085991.0,248614.0,549412033.0,0.0,19210985.0,2205836.0,87079.0,9064152.0,1850459.0,71603798.0,0.0,0.0,0.0,5331172.0,0.0,70147.0,0.0,base-activeLogic_Empty_0_1p_300s.csv,70147,
