filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
Empty,4778857.014352367,619124.9900873412,10.441516927398654,12552.559177281606,0.0,0.0,0.0,0.0,0.0,0.0,1339.3719668717006,4159732.024265026,605222.6174262605,0.0
Empty (Logic Active),5056061.527290465,701146.164102213,11.135160114330704,14410.204117959163,0.0,698.4602153114142,169.21924795043387,1.9715029010560186,290.75206668149997,68.1166412788608,1449.6224690639601,4354915.363188252,684576.7421397641,168.4007564995636
RollingHills,4711753.757635562,361214.4330664799,20.567172255733635,13005.425044961881,40278.26388247839,0.0,0.0,0.0,0.0,0.0,1431.7141538412568,4350539.324569082,306478.4628129427,0.0
RollingHills (Logic Active),5375484.919835747,490988.3020513473,24.969838472300452,15608.025019532315,48900.78185584243,4157.180714791867,286.5791558406163,2.3893017424641605,3582.5604593273615,38.487617421007684,1703.2276105165615,4884496.6177844,420594.1170121918,247.16418046041736
1-Layer (Logic Active),5206871.964174592,861430.9908590715,14.033926907729358,14091.106017191976,0.0,169786.20342081672,188.58108179373144,4909.581732205952,155558.57712658428,8890.088245117513,1471.5420922179057,4345440.97331552,676068.1054019372,239.37523511523614
TerrainCircuitry (Logic Active),5510588.841958302,646241.584568131,29.815655249441548,16077.610033507073,49650.17920699926,192859.62980268057,383.29834326135517,5729.975763216679,176470.25962397616,9998.5460908414,1745.2045606850336,4864347.257390171,385879.14530900965,277.54998138497467
2-Layer (Logic Active),9168062.985159077,5314146.444949448,28.948396871038554,15334.16229168599,0.0,4605815.841789568,698.9505920910243,35570.219460161396,4420257.3358377395,147410.4424759608,1687.1956528460564,3853916.5402096286,691280.2968184771,1878.8934236150235
