Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
73690,5657681,44181946368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73691,5270885,44181946368,111259648,149700747264,3066080,0,1421396,113643,0,0,0,0,0,5410,0.0,0.0,0.0,267.0,0.0,100.0
73692,5853066,44181946368,111259648,149700747264,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73693,8784324,44187480064,111259648,149717524480,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73694,12668479,44187480064,111259648,149717524480,4066506,0,1408501,123011,0,0,0,0,0,5250,0.0,0.0,0.0,267.0,0.0,100.0
73695,10197604,44192448512,111259648,149734301696,3029942,0,1402320,109536,0,0,0,0,0,4659,0.0,0.0,0.0,267.0,0.0,100.0
73696,5705089,44192718848,111259648,149734301696,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73697,9170258,44192985088,111263744,149734305792,3152051,0,1420554,110488,0,0,0,0,0,5110,0.0,0.0,0.0,267.0,0.0,100.0
73698,8866428,44192985088,111263744,149734305792,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73699,7246299,44197179392,111263744,149751083008,3232532,0,1418480,105769,220043,122940,210,17552,7063,3847,0.0,0.0,0.0,267.0,0.0,100.0
73700,8614866,44197179392,111263744,149751083008,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73701,152852707,44197445632,111263744,149751083008,144178860,0,1414122,123933,0,0,0,0,0,5059,0.0,0.0,0.0,267.0,0.0,100.0
73702,33525513,44201496576,111263744,149751083008,28976442,0,5616273,298990,0,0,0,0,0,13136,0.0,0.0,0.0,267.0,0.0,100.0
73703,32464373,44206342144,111263744,149751083008,26618579,0,2944482,185959,0,0,0,0,0,7144,0.0,0.0,0.0,267.0,0.0,100.0
73704,28629301,44210937856,111263744,149751083008,21225535,0,2790403,161463,0,0,0,0,0,7414,0.0,0.0,0.0,267.0,0.0,100.0
73705,19404391,44218093568,111263744,149767860224,15033113,0,1402049,112962,0,0,0,0,0,4478,0.0,0.0,0.0,267.0,0.0,100.0
73706,17334078,44218359808,111263744,149767860224,11603170,0,2804239,164859,0,0,0,0,0,7304,0.0,0.0,0.0,267.0,0.0,100.0
73707,12232650,44218359808,111263744,149767860224,6505420,0,1391430,105287,0,0,0,0,0,4949,0.0,0.0,0.0,267.0,0.0,100.0
73708,5259734,44218359808,111263744,149767860224,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73709,9721011,44222554112,111263744,149784637440,4569019,0,1415935,104005,0,0,0,0,0,4569,0.0,0.0,0.0,267.0,0.0,100.0
73710,5374009,44222554112,111263744,149784637440,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73711,7543607,44227010560,111259648,149801410560,5070930,0,1562561,75792,0,0,0,0,0,5550,0.0,0.0,0.0,267.0,0.0,100.0
73712,6218602,44227010560,111259648,149801410560,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73713,4438193,44227272704,111259648,149801410560,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73714,12530580,44231467008,111259648,149818187776,4943141,0,1411587,108263,0,0,0,0,0,4488,0.0,0.0,0.0,267.0,0.0,100.0
73715,5816639,44231733248,111259648,149818187776,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73716,7453769,44231733248,111259648,149818187776,2925006,0,1399775,111449,0,0,0,0,0,4748,0.0,0.0,0.0,267.0,0.0,100.0
73717,5065280,44235927552,111263744,149834969088,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73718,6259048,44236439552,111263744,149834969088,3978821,0,1393974,110377,0,0,0,0,0,5049,0.0,0.0,0.0,267.0,0.0,100.0
73719,5071231,44236685312,111263744,149834969088,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73720,4925708,44240879616,111263744,149851746304,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73721,7676827,44241133568,111263744,149851746304,2962856,0,1396359,98544,0,0,0,0,0,4498,0.0,0.0,0.0,267.0,0.0,100.0
73722,6005723,44241633280,111263744,149851746304,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73723,2350388,44241633280,111263744,149851746304,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73724,9278361,44246089728,111263744,149868523520,4666532,0,1405426,102462,0,0,0,0,0,4588,0.0,0.0,0.0,267.0,0.0,100.0
73725,5184653,44246351872,111263744,149868523520,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73726,7826037,44250546176,111263744,149885300736,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73727,12054386,44250546176,111259648,149885296640,3669332,0,1427157,116328,0,0,0,0,0,6021,0.0,0.0,0.0,267.0,0.0,100.0
73728,16608236,44255219712,111263744,149902077952,9066754,0,1393203,116789,0,0,0,0,0,4509,0.0,0.0,0.0,267.0,0.0,100.0
73729,14222703,44260134912,111263744,149918855168,9915325,0,1402711,109305,0,0,0,0,0,4779,0.0,0.0,0.0,267.0,0.0,100.0
73730,6729591,44260134912,111263744,149918855168,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73731,6570812,44260134912,111263744,149918855168,2954731,0,1395277,115636,0,0,0,0,0,4358,0.0,0.0,0.0,267.0,0.0,100.0
73732,8878490,44264579072,111263744,149935632384,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73733,7997619,44264816640,111263744,149935632384,4856949,0,1400556,109285,0,0,0,0,0,4769,0.0,0.0,0.0,267.0,0.0,100.0
73734,8933884,44269240320,111263744,149952409600,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73735,6039767,44269240320,111263744,149952409600,2991400,0,1411317,118682,0,0,0,0,0,4919,0.0,0.0,0.0,267.0,0.0,100.0
73736,5079136,44269490176,111263744,149952409600,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
73737,5296103,44273684480,111263744,149969186816,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,267.0,0.0,100.0
