Player_ID,Total_Players,RoundTripDelay_ms
1,5,33.33
1,5,30.87
1,5,28.29
1,5,26.19
1,5,24.46
1,5,23.60
1,5,23.63
1,5,25.39
1,5,26.83
1,5,28.01
1,5,28.98
1,5,29.77
1,5,27.95
1,5,25.90
1,5,24.23
1,5,22.86
1,5,21.74
1,5,20.82
1,5,21.80
1,5,20.87
1,5,20.11
1,5,19.49
1,5,18.98
1,5,18.56
1,5,20.68
1,5,19.95
1,5,19.36
1,5,18.87
1,5,18.47
1,5,18.14
1,5,18.53
1,5,19.33
1,5,18.85
1,5,18.45
1,5,18.13
1,5,17.86
1,5,17.65
1,5,18.75
1,5,19.51
1,5,18.99
1,5,18.57
1,5,18.23
1,5,17.94
1,5,17.71
1,5,19.99
1,5,19.39
1,5,18.89
1,5,18.49
1,5,18.16
1,5,17.89
1,5,18.32
1,5,19.16
1,5,18.71
1,5,18.34
1,5,18.03
1,5,17.79
1,5,17.58
1,5,19.23
1,5,18.76
1,5,18.38
1,5,18.07
1,5,17.82
1,5,17.61
1,5,17.44
1,5,19.11
1,5,18.67
1,5,18.30
1,5,18.01
1,5,17.76
1,5,17.57
1,5,17.40
1,5,19.01
1,5,18.59
1,5,18.24
1,5,17.95
1,5,17.72
1,5,17.53
1,5,18.03
1,5,18.92
1,5,18.51
1,5,18.17
1,5,17.90
1,5,17.68
1,5,17.49
1,5,18.63
1,5,19.41
1,5,18.91
1,5,18.50
1,5,18.17
1,5,17.90
1,5,17.67
1,5,19.38
1,5,18.89
1,5,18.48
1,5,18.15
1,5,17.88
1,5,17.66
1,5,17.48
1,5,19.70
1,5,19.15
1,5,18.70
1,5,18.33
1,5,18.03
1,5,17.78
1,5,18.23
1,5,19.69
1,5,19.14
1,5,18.69
1,5,18.33
1,5,18.03
1,5,17.78
1,5,20.04
1,5,19.43
1,5,18.93
1,5,18.52
1,5,18.18
1,5,17.91
1,5,18.34
1,5,19.77
1,5,19.21
1,5,18.75
1,5,18.37
1,5,18.06
1,5,17.81
1,5,18.88
1,5,19.04
1,5,18.61
1,5,18.26
1,5,17.97
1,5,17.73
1,5,17.54
1,5,18.66
1,5,19.44
1,5,18.94
1,5,18.52
1,5,18.19
1,5,17.91
2,5,33.33
2,5,31.45
2,5,28.77
2,5,26.57
2,5,24.78
2,5,23.31
2,5,22.10
2,5,21.12
2,5,20.31
