Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
88146,2690025,23097774080,61648896,79584231424,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88147,11499366,23101968384,61648896,79601008640,6914938,0,1279089,334086,0,0,0,0,0,4288,0.0,8364.0,0.0,4.0
88148,2531908,23101968384,61648896,79601008640,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88149,4429477,23101968384,61648896,79601008640,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88150,6880935,23101968384,61648896,79601008640,4433725,0,1108649,184446,0,0,0,0,0,4088,0.0,8364.0,0.0,4.0
88151,4492886,23101968384,61648896,79601008640,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88152,2444104,23101968384,61648896,79601008640,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88153,9064599,23101968384,61648896,79601008640,4521419,0,1136702,301946,0,0,0,0,0,4739,0.0,8364.0,0.0,4.0
88154,2528902,23101964288,61644800,79601004544,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88155,4464472,23101964288,61644800,79601004544,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88156,8727487,23101964288,61644800,79601004544,5294268,0,1179001,234129,0,0,0,0,0,16340,0.0,8364.0,0.0,4.0
88157,5209159,23101964288,61644800,79601004544,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88158,3854990,23101964288,61648896,79601008640,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88159,12297653,23117176832,106385408,79645745152,5175165,0,1214938,307156,0,0,0,0,0,4779,0.0,8364.0,0.0,4.0
88160,3918960,23131856896,106385408,79645745152,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88161,10775528,23146536960,106385408,79645745152,4980119,0,1232983,217477,0,0,0,0,0,4549,0.0,8364.0,0.0,4.0
88162,4147218,23146536960,106385408,79645745152,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88163,4609755,23146536960,106385408,79645745152,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88164,8225346,23146536960,106385408,79645745152,4737394,0,1282576,208992,0,0,0,0,0,4979,0.0,8364.0,0.0,4.0
88165,4599176,23146536960,106385408,79645745152,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88166,11117239,23106260992,51261440,79607398400,7964426,0,1296331,213881,0,0,0,0,0,4869,0.0,8364.0,0.0,4.0
88167,4896122,23106260992,51261440,79607398400,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88168,3474015,23106260992,51265536,79607402496,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88169,9037299,23106260992,51265536,79607402496,4465184,0,1127184,294672,0,0,0,0,0,4459,0.0,8364.0,0.0,4.0
88170,2451367,23106260992,51265536,79607402496,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88171,4530105,23106260992,51265536,79607402496,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88172,7395529,23106510848,51265536,79607402496,4509286,0,1151580,205405,0,0,0,0,0,4649,0.0,8364.0,0.0,4.0
88173,4552628,23106510848,51265536,79607402496,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88174,2628840,23106510848,51261440,79607398400,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88175,9213459,23106510848,51261440,79607398400,4494980,0,1176166,198041,0,0,0,0,0,4970,0.0,8364.0,0.0,4.0
88176,6719802,23110705152,51261440,79624175616,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88177,17553890,23111221248,51261440,79624175616,11999715,0,1213706,228699,0,0,0,0,0,6222,0.0,8364.0,0.0,4.0
88178,10009622,23111221248,51261440,79624175616,5504102,0,1249734,231705,0,0,0,0,0,7123,0.0,8364.0,0.0,4.0
88179,5432338,23111221248,51261440,79624175616,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88180,4529094,23111221248,51265536,79624179712,0,0,0,0,0,0,0,0,0,0,0.0,8364.0,0.0,4.0
88181,16250205,23126409216,106389504,79679303680,9064559,0,1309576,210945,0,0,0,0,0,5129,0.0,8364.0,0.0,4.0
88182,8115389,23141089280,106389504,79679303680,4401094,0,1106425,193953,0,0,0,0,0,4909,0.0,8364.0,0.0,4.0
