Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
94558,4389873,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94559,3579042,8402755584,79585280,26910171136,1409153,0,227066,0,0,0,0,0,0,2915,400.0,775.0,0.0,2788.0,0.0,4.0
94560,3941963,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94561,1888832,8402755584,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94562,6091544,8419319808,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94563,3782273,8419319808,138240000,26968825856,1502638,0,226004,0,0,0,0,0,0,2806,400.0,775.0,0.0,2788.0,0.0,4.0
94564,4106993,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94565,1866461,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94566,4291398,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94567,3658371,8419586048,138240000,26968825856,1414874,0,226324,0,0,0,0,0,0,2885,400.0,775.0,0.0,2788.0,0.0,4.0
94568,4104317,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94569,1815134,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94570,4378952,8419586048,138240000,26968825856,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94571,2359215,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94572,5440643,8403021824,79585280,26910171136,1404233,0,228599,0,0,0,0,0,0,2685,400.0,775.0,0.0,2788.0,0.0,4.0
94573,1761413,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94574,4373182,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94575,2125276,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94576,4399310,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94577,3693006,8403021824,79585280,26910171136,1510724,0,224341,0,0,0,0,0,0,2695,400.0,775.0,0.0,2788.0,0.0,4.0
94578,3977279,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94579,1696181,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94580,4366398,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
94581,2103826,8403021824,79585280,26910171136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,2788.0,0.0,4.0
