Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
94306,5505716,7902810112,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94307,2929805,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94308,4299082,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94309,3459778,7917490176,94113792,26924699648,1439249,0,225743,0,0,0,0,0,0,2474,0.0,2788.0,0.0,4.0
94310,3756505,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94311,1599310,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94312,4276730,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94313,1842225,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94314,4201880,7917490176,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94315,3460891,7886045184,52084736,26882670592,1423049,0,224922,0,0,0,0,0,0,2545,0.0,2788.0,0.0,4.0
94316,3707042,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94317,1527365,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94318,4282651,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94319,3478885,7886045184,52084736,26882670592,1565677,0,228529,0,0,0,0,0,0,2966,0.0,2788.0,0.0,4.0
94320,3928717,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94321,1549616,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94322,4255160,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94323,1866531,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94324,4269236,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94325,5334545,7886045184,52084736,26882670592,2155473,0,238287,0,0,0,0,0,0,4388,0.0,2788.0,0.0,4.0
94326,4953950,7886045184,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94327,2783070,7886045184,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94328,4890642,7886045184,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94329,3604430,7886045184,52088832,26882674688,1557351,0,226785,0,0,0,0,0,0,2695,0.0,2788.0,0.0,4.0
94330,3829592,7886045184,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94331,1627632,7886045184,52088832,26882674688,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94332,5448508,7902822400,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94333,4461637,7917502464,94113792,26924699648,1482160,0,225793,0,0,0,0,0,0,2434,0.0,2788.0,0.0,4.0
94334,3814824,7917502464,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94335,1809714,7917588480,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94336,4307509,7917588480,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94337,3488412,7917588480,94109696,26924695552,1397631,0,231173,0,0,0,0,0,0,2976,0.0,2788.0,0.0,4.0
94338,4182043,7917588480,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94339,1552141,7917588480,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94340,4229663,7917588480,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94341,2000762,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94342,4247365,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94343,3342990,7886057472,52084736,26882670592,1445791,0,224722,0,0,0,0,0,0,2565,0.0,2788.0,0.0,4.0
94344,3699178,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94345,1563272,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94346,4292821,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94347,1809403,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94348,5903131,7886057472,52084736,26882670592,1557962,0,235331,0,0,0,0,0,0,2875,0.0,2788.0,0.0,4.0
94349,1660174,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94350,4300285,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94351,1848747,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94352,4228961,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94353,3438989,7886057472,52084736,26882670592,1549465,0,230012,0,0,0,0,0,0,2835,0.0,2788.0,0.0,4.0
94354,3975686,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94355,1634234,7886057472,52084736,26882670592,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94356,5434512,7902834688,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94357,5984764,7917514752,94109696,26924695552,2024447,0,237355,0,0,0,0,0,0,5290,0.0,2788.0,0.0,4.0
94358,5181687,7917514752,94109696,26924695552,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94359,3254012,7917514752,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94360,4285918,7917514752,94113792,26924699648,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94361,3556820,7917514752,94113792,26924699648,1619217,0,236143,0,0,0,0,0,0,3156,0.0,2788.0,0.0,4.0
94362,3927095,7921946624,94113792,26941476864,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94363,1735224,7921946624,94113792,26941476864,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94364,3866812,7921946624,94113792,26941476864,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94365,1735033,7890505728,52088832,26899451904,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94366,5279091,7890505728,52088832,26899451904,1435753,0,224872,0,0,0,0,0,0,2736,0.0,2788.0,0.0,4.0
94367,1668238,7890497536,52080640,26899443712,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94368,4248718,7890497536,52080640,26899443712,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94369,1872081,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94370,4225305,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
94371,3313835,7890497536,52084736,26899447808,1434220,0,233818,0,0,0,0,0,0,2655,0.0,2788.0,0.0,4.0
94372,3911856,7890497536,52084736,26899447808,0,0,0,0,0,0,0,0,0,0,0.0,2788.0,0.0,4.0
