timestamp,cpu_percent,rss
1722511472.5516944,45.5,9711153152
1722511473.5520558,46.5,9820172288
1722511474.55273,47.5,9857798144
1722511475.5532148,50.5,9883570176
1722511476.5538416,49.0,9991647232
1722511477.5544882,48.1,10013057024
1722511478.5552113,49.9,9963057152
1722511479.5558398,50.4,10143281152
1722511480.5563564,50.1,10133880832
1722511481.5569594,51.8,10056765440
1722511482.5574708,52.3,10160930816
1722511483.5582912,51.8,10377367552
1722511484.5591378,59.1,10517852160
1722511485.5597727,65.0,10897063936
1722511486.560371,63.6,11188899840
1722511487.5610743,66.3,11314982912
1722511488.5616295,71.0,11753164800
1722511489.5621502,71.7,12055343104
1722511490.5628319,74.7,12248289280
1722511491.5633798,75.7,12460359680
1722511492.564058,75.4,12743950336
1722511493.564584,74.1,13126963200
1722511494.5651777,78.9,13247770624
1722511495.5656652,77.1,13600985088
1722511496.566422,77.9,13714391040
1722511497.5671425,79.3,14023376896
1722511498.5676053,79.2,14320766976
1722511499.568286,80.0,14534762496
1722511500.5687044,82.7,14811451392
1722511501.5692348,82.2,15072727040
1722511502.5698304,83.7,15341916160
1722511503.5705166,83.8,15445762048
1722511504.5712047,83.3,15689908224
1722511505.5718098,83.1,15790379008
1722511506.5723975,83.4,15785345024
1722511507.5729072,81.3,15768166400
1722511508.57349,80.6,15829893120
1722511509.5743291,80.2,15793971200
1722511510.5748794,80.4,15828709376
1722511511.5757267,80.4,15796314112
1722511512.5762408,79.6,15839436800
1722511513.5767918,79.0,15804411904
1722511514.5773087,79.6,15841460224
1722511515.577922,78.8,15878905856
1722511516.5784667,76.8,15833735168
1722511517.579041,77.2,15799287808
1722511518.579653,79.4,15835471872
1722511519.5801332,78.0,15815970816
1722511520.5805845,76.3,15805652992
1722511521.5811954,78.6,15837691904
1722511522.5818303,78.7,15822159872
1722511523.5824177,78.1,15851810816
1722511524.582953,77.5,15848148992
1722511525.5835981,78.6,15805415424
1722511526.5841544,75.8,15832330240
1722511527.5846865,76.9,15812079616
1722511528.5852535,77.0,15816671232
1722511529.585814,76.9,15816024064
1722511530.586321,76.9,15856840704
1722511531.586824,76.7,15836647424
1722511532.5874095,75.6,15803363328
1722511533.5879788,75.5,15828967424
1722511534.588614,74.8,15907819520
1722511535.5892153,74.4,15836037120
1722511536.5898416,76.5,15841697792
1722511537.5904057,75.5,15834587136
1722511538.591076,74.7,15845646336
1722511539.5916216,74.8,15910531072
1722511540.5921547,75.0,15892213760
1722511541.5927505,73.5,15863316480
1722511542.5933053,72.3,15827103744
1722511543.5940564,71.9,15822635008
1722511544.5951257,75.0,15835820032
1722511545.5957851,73.2,15859666944
1722511546.5965369,71.6,15912873984
1722511547.5973809,72.6,15911407616
1722511548.5979857,73.2,15994646528
1722511549.5985363,73.2,15985647616
1722511550.5994055,72.4,15983833088
1722511551.6001697,73.2,16024784896
1722511552.6007667,72.2,15979569152
1722511553.6013367,73.0,16019382272
1722511554.60196,73.3,15984648192
1722511555.6026096,71.7,16018612224
1722511556.6032765,72.6,15978844160
1722511557.60389,72.5,15986176000
1722511558.6050537,72.4,15951904768
1722511559.6056774,72.9,15978450944
1722511560.6064317,72.5,15943774208
1722511561.6069622,71.3,15955480576
1722511562.6075616,72.6,15949447168
1722511563.6082602,71.1,15986274304
1722511564.6088998,73.1,16008105984
1722511565.609447,73.2,15977062400
1722511566.6099553,72.4,15964237824
1722511567.6104405,71.1,16015994880
1722511568.6109557,71.7,15966765056
1722511569.6115491,72.2,16016031744
1722511570.6121297,72.8,15981178880
1722511571.6129293,72.5,15975272448
1722511572.6135573,72.2,15970177024
1722511573.6146188,73.2,16028508160
1722511574.6158779,71.9,15999860736
1722511575.6164849,71.9,15959269376
1722511576.6171896,71.5,15958335488
1722511577.6180582,72.8,15984734208
1722511578.6193051,73.0,16010317824
1722511579.6199708,71.7,16035966976
1722511580.6206524,72.7,16012476416
1722511581.62116,72.8,16049291264
1722511582.6217558,72.8,15991500800
1722511583.6223395,72.1,15997857792
1722511584.6228516,72.4,15990927360
1722511585.6233442,71.7,16027262976
1722511586.6237996,71.4,16009076736
1722511587.6242814,72.3,16051355648
1722511588.6248996,73.7,16038453248
1722511589.6255438,72.7,16034258944
1722511590.6261203,72.2,16050331648
1722511591.6268926,71.9,16026746880
1722511592.6277425,72.1,16025591808
1722511593.6283915,72.3,16063496192
1722511594.6289299,72.1,16043356160
1722511595.6296132,72.4,16029208576
1722511596.6303778,72.5,16048672768
1722511597.6310375,72.2,16053374976
1722511598.631618,71.3,16048046080
1722511599.6325412,71.5,16019750912
1722511600.633173,71.7,16057421824
1722511601.6336923,72.3,16061456384
1722511602.6341896,71.5,16067264512
1722511603.6349583,72.8,16015974400
1722511604.6354942,72.0,16047534080
1722511605.6361973,72.5,16048799744
1722511606.6367714,72.9,16154746880
1722511607.6373427,71.8,16073334784
1722511608.6380813,72.0,16167440384
1722511609.6386461,72.9,16091234304
1722511610.6391463,72.1,16109858816
1722511611.6396701,72.2,16057147392
1722511612.6402357,72.0,16140767232
1722511613.6409583,72.0,16112705536
1722511614.6414895,71.3,16077500416
1722511615.6422596,71.8,16094404608
1722511616.642856,72.7,16144154624
1722511617.6434631,72.3,16091545600
1722511618.6444151,71.7,16092217344
1722511619.645719,71.8,16118771712
1722511620.646278,70.9,16123498496
1722511621.6467962,71.7,16131481600
1722511622.6473165,71.4,16112328704
1722511623.6479557,71.3,16148508672
1722511624.6485972,72.2,16179982336
1722511625.649151,72.3,16146898944
1722511626.6496363,72.3,16148746240
1722511627.6501384,71.5,16180977664
1722511628.6506834,71.8,16146141184
1722511629.6515138,71.3,16113885184
1722511630.6520264,70.9,16148819968
1722511631.6527889,71.3,16159256576
1722511632.6534426,71.0,16149995520
1722511633.6539931,70.9,16141807616
1722511634.6544719,71.6,16172904448
1722511635.6551285,72.0,16123334656
1722511636.6565204,72.0,16199290880
1722511637.657279,70.7,16199987200
1722511638.658503,71.1,16121090048
1722511639.6591032,71.7,16157216768
1722511640.6596918,71.3,16167751680
1722511641.6602743,71.9,16118206464
1722511642.6609535,71.0,16138743808
1722511643.661471,72.3,16134516736
1722511644.6626527,71.6,16135630848
1722511645.6639636,71.4,16184004608
1722511646.6646109,71.9,16176685056
1722511647.665215,72.8,16158789632
1722511648.665731,72.8,16168292352
1722511649.6662927,72.8,16160124928
1722511650.6668668,71.4,16176775168
1722511651.6675358,71.2,16151298048
1722511652.6681273,70.9,16178769920
1722511653.668714,71.1,16142053376
1722511654.669673,70.4,16187432960
1722511655.6704285,72.0,16175947776
1722511656.6709208,72.4,16143114240
1722511657.6714895,72.9,16191094784
1722511658.672585,70.6,16211386368
1722511659.6748888,71.2,16206852096
1722511660.6755478,71.7,16153767936
1722511661.6762455,71.5,16189505536
1722511662.6767807,71.5,16161247232
1722511663.677648,71.0,16205627392
1722511664.6782255,71.2,16163196928
1722511665.6787658,71.4,16188948480
1722511666.6792233,71.7,16216862720
1722511667.679774,72.4,16199499776
1722511668.6802752,71.7,16164659200
1722511669.6810448,70.4,16279625728
1722511670.681542,71.3,16192655360
1722511671.682368,71.7,16199524352
1722511672.6829133,71.3,16199647232
1722511673.6834872,71.4,16214274048
1722511674.6839592,71.7,16209235968
1722511675.6845355,71.6,16178393088
1722511676.6853,70.3,16242753536
1722511677.6857927,71.0,16221175808
1722511678.6862552,70.5,16195047424
1722511679.6867964,70.5,16251383808
1722511680.6874704,70.7,16220069888
1722511681.6880267,71.0,16207237120
1722511682.6886978,70.3,16158814208
1722511683.6893127,71.5,16243720192
1722511684.6900558,71.4,16310939648
1722511685.6907032,70.7,16171417600
1722511686.6912284,70.8,16220446720
1722511687.6917622,72.7,16226922496
1722511688.6923687,70.9,16254537728
1722511689.6929603,71.0,16249643008
1722511690.6935582,71.3,16219516928
1722511691.6945689,71.1,16219881472
1722511692.6951878,71.6,16282857472
1722511693.6959605,72.2,16290324480
1722511694.696502,71.2,16259395584
1722511695.6975784,70.6,16220925952
1722511696.69829,70.4,16228786176
1722511697.698956,71.1,16276824064
1722511698.699647,71.2,16240652288
1722511699.7002938,70.2,16291270656
1722511700.7008603,70.7,16270807040
1722511701.701505,70.4,16262541312
1722511702.7027817,70.7,16301723648
1722511703.7033267,70.6,16300933120
1722511704.7041264,70.4,16274022400
1722511705.7047815,69.3,16305946624
1722511706.7053018,70.4,16290045952
1722511707.706039,71.0,16305913856
1722511708.7071657,70.7,16251772928
1722511709.707952,70.4,16277237760
1722511710.7085,70.8,16318287872
1722511711.7090642,70.8,16316686336
1722511712.7095356,70.1,16317980672
1722511713.7101462,69.8,16344997888
1722511714.7107701,70.5,16350420992
1722511715.711355,70.5,16372150272
1722511716.7119339,71.6,16333275136
1722511717.7126029,70.9,16359288832
1722511718.7131999,71.4,16298967040
1722511719.7137976,70.8,16326410240
1722511720.7144532,71.0,16344678400
1722511721.7150319,70.4,16332918784
1722511722.7155647,71.8,16343584768
1722511723.7162058,70.8,16346988544
1722511724.7168827,70.7,16357478400
1722511725.7174635,70.4,16390344704
1722511726.7180643,70.4,16384434176
1722511727.7188973,70.4,16363343872
1722511728.719505,70.1,16389738496
1722511729.7201412,70.5,16375656448
1722511730.7206244,70.5,16350195712
1722511731.721185,71.0,16435081216
1722511732.7217603,70.8,16379510784
1722511733.7223973,70.5,16390868992
1722511734.723024,69.7,16352690176
1722511735.7236094,69.6,16353005568
1722511736.724135,70.6,16370188288
1722511737.724758,71.4,16369553408
1722511738.725393,71.4,16432201728
1722511739.7261214,70.7,16401321984
1722511740.7268617,70.1,16383066112
1722511741.727488,69.6,16412471296
1722511742.7280827,70.2,16404164608
1722511743.7287507,70.1,16374599680
1722511744.729432,71.2,16401780736
1722511745.7302604,71.0,16374489088
1722511746.7310271,70.3,16404447232
1722511747.7315698,70.4,16415207424
1722511748.7321134,70.2,16360218624
1722511749.7327144,70.2,16360140800
1722511750.7332733,70.1,16394477568
1722511751.7338681,70.1,16388366336
1722511752.734687,70.1,16424718336
1722511753.7353702,69.6,16409530368
1722511754.736038,71.3,16448901120
1722511755.7367938,71.7,16442183680
1722511756.7376518,71.2,16432328704
1722511757.738151,70.6,16447176704
1722511758.7386982,69.8,16432758784
1722511759.7394946,70.1,16376786944
1722511760.740058,69.9,16377638912
1722511761.7406504,70.0,16425975808
1722511762.7414951,70.6,16381476864
1722511763.7420585,70.2,16425738240
1722511764.7426603,69.9,16409010176
1722511765.743434,69.9,16434339840
1722511766.7441456,70.2,16428380160
1722511767.7446496,70.0,16409677824
1722511768.7456276,70.4,16427868160
1722511769.746462,70.7,16451309568
1722511770.7470555,69.8,16448045056
1722511771.7480748,70.4,16469856256
1722511772.7486632,69.5,16455438336
1722511773.7493732,69.6,16457916416
1722511774.750794,70.3,16439541760
1722511775.751357,70.5,16463077376
1722511776.7520518,69.8,16493375488
