Player_ID,Total_Players,RoundTripDelay_ms
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,16.67
1,10,17.97
1,10,20.77
1,10,22.52
1,10,24.49
1,10,26.09
1,10,27.41
1,10,28.49
1,10,29.37
1,10,30.09
1,10,30.68
1,10,31.16
1,10,30.91
1,10,28.33
1,10,26.22
1,10,24.49
1,10,23.07
1,10,21.91
1,10,20.96
1,10,20.18
1,10,19.54
1,10,19.03
1,10,18.60
1,10,18.25
1,10,17.96
1,10,17.73
1,10,17.54
1,10,17.38
1,10,17.26
1,10,17.15
1,10,17.07
1,10,16.99
1,10,16.93
1,10,16.89
1,10,16.86
1,10,16.84
1,10,16.81
1,10,16.78
1,10,19.23
1,10,21.13
1,10,22.48
1,10,22.59
1,10,22.34
1,10,24.34
1,10,25.97
1,10,27.31
1,10,28.41
1,10,29.30
1,10,30.04
1,10,30.64
1,10,31.12
1,10,31.53
1,10,31.86
1,10,30.30
1,10,27.83
1,10,25.81
1,10,24.15
1,10,22.80
1,10,21.68
1,10,20.78
1,10,20.03
1,10,19.43
1,10,18.93
1,10,18.52
1,10,18.19
1,10,17.91
1,10,17.69
1,10,17.51
1,10,17.36
1,10,17.24
1,10,17.13
1,10,17.05
1,10,16.99
1,10,16.94
1,10,16.89
1,10,16.85
1,10,16.82
1,10,16.79
1,10,16.78
1,10,16.77
1,10,16.75
1,10,16.74
1,10,16.73
1,10,16.72
1,10,16.71
1,10,16.70
1,10,16.70
1,10,17.83
1,10,19.52
1,10,22.03
1,10,24.08
1,10,25.76
1,10,27.13
1,10,28.26
1,10,29.18
1,10,29.93
1,10,30.55
1,10,31.06
1,10,31.47
1,10,31.82
1,10,32.10
1,10,32.32
1,10,31.25
1,10,28.61
1,10,26.45
1,10,24.67
1,10,23.22
1,10,22.04
1,10,21.07
1,10,20.28
1,10,19.62
1,10,19.09
1,10,18.65
1,10,18.29
1,10,18.00
1,10,17.76
1,10,17.57
1,10,17.40
1,10,17.27
1,10,17.16
1,10,17.08
1,10,17.00
1,10,16.94
1,10,16.89
1,10,16.85
1,10,16.82
1,10,16.79
1,10,16.77
1,10,16.75
1,10,16.74
1,10,16.72
1,10,16.71
1,10,16.71
1,10,16.70
1,10,16.70
2,10,33.33
2,10,30.87
2,10,28.29
2,10,26.19
2,10,26.93
2,10,27.43
2,10,25.48
2,10,23.88
2,10,22.58
2,10,21.50
2,10,20.63
2,10,19.91
2,10,19.32
2,10,19.40
2,10,18.90
2,10,18.50
2,10,18.17
2,10,17.90
2,10,17.68
2,10,17.50
2,10,17.35
2,10,17.23
2,10,17.13
2,10,17.05
2,10,16.98
2,10,16.92
2,10,16.87
2,10,16.84
2,10,16.81
2,10,16.79
2,10,16.77
2,10,16.75
2,10,16.73
2,10,16.73
2,10,16.72
2,10,16.71
2,10,16.71
2,10,16.70
2,10,16.70
2,10,16.69
2,10,16.69
2,10,16.69
2,10,16.68
2,10,16.69
2,10,16.69
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,19.70
2,10,22.17
2,10,21.18
2,10,20.36
2,10,19.69
2,10,19.15
2,10,18.70
2,10,18.33
2,10,18.03
2,10,17.78
2,10,17.58
2,10,17.43
2,10,17.29
2,10,17.18
2,10,17.08
2,10,17.01
2,10,16.95
2,10,16.90
2,10,16.86
2,10,16.83
2,10,16.80
2,10,16.79
2,10,16.77
2,10,16.75
2,10,16.73
2,10,16.73
2,10,16.72
2,10,16.71
2,10,16.70
2,10,16.69
2,10,16.69
2,10,16.69
2,10,16.69
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.68
2,10,16.67
2,10,16.67
2,10,16.68
2,10,16.67
2,10,16.67
2,10,16.67
2,10,17.33
2,10,19.06
2,10,18.62
2,10,18.27
2,10,17.98
2,10,17.74
2,10,17.55
2,10,17.40
2,10,17.27
2,10,17.16
2,10,17.09
2,10,17.01
2,10,16.95
2,10,16.90
2,10,16.86
2,10,16.83
2,10,16.80
2,10,16.77
2,10,16.75
2,10,16.74
2,10,16.73
2,10,16.72
2,10,16.71
2,10,16.70
2,10,16.71
2,10,16.70
2,10,16.69
2,10,16.69
2,10,16.69
2,10,16.69
2,10,16.68
2,10,16.70
2,10,16.69
2,10,16.69
2,10,16.68
2,10,16.69
2,10,17.89
2,10,18.38
2,10,21.09
2,10,23.31
2,10,25.13
2,10,26.61
2,10,27.85
2,10,28.84
2,10,29.66
2,10,29.17
2,10,26.91
2,10,25.06
2,10,23.54
2,10,22.29
2,10,21.27
2,10,20.44
2,10,19.75
2,10,19.19
2,10,18.74
2,10,18.43
2,10,18.11
2,10,17.85
2,10,17.64
2,10,17.47
2,10,17.32
2,10,17.20
2,10,17.11
2,10,17.03
2,10,16.97
2,10,16.91
2,10,16.87
2,10,16.83
2,10,16.80
2,10,16.78
2,10,16.76
3,10,16.67
3,10,16.68
3,10,16.68
3,10,16.70
3,10,16.69
3,10,16.69
3,10,16.68
3,10,16.68
3,10,16.68
3,10,16.68
3,10,16.68
3,10,16.67
3,10,16.68
3,10,16.68
3,10,16.70
3,10,16.70
3,10,16.69
3,10,16.69
3,10,16.68
3,10,16.68
3,10,16.68
3,10,18.47
3,10,20.56
3,10,22.88
3,10,24.78
3,10,26.33
3,10,27.60
3,10,28.64
3,10,29.50
3,10,30.21
3,10,30.78
3,10,31.24
3,10,31.62
3,10,28.97
3,10,26.74
3,10,24.91
3,10,23.42
3,10,22.19
3,10,21.19
3,10,20.37
3,10,19.70
3,10,19.15
3,10,18.70
3,10,18.33
3,10,18.03
3,10,17.78
3,10,17.59
3,10,17.42
3,10,17.29
3,10,17.18
3,10,17.09
3,10,17.01
3,10,16.96
3,10,16.90
3,10,16.86
3,10,16.83
3,10,16.80
3,10,16.79
3,10,16.77
3,10,16.76
3,10,16.74
3,10,16.73
3,10,16.72
3,10,16.71
3,10,16.71
3,10,16.70
3,10,16.70
3,10,16.69
3,10,16.69
3,10,16.69
3,10,16.69
3,10,16.69
3,10,17.32
3,10,18.39
3,10,18.66
3,10,21.33
3,10,23.50
3,10,25.28
3,10,26.75
3,10,27.95
3,10,28.93
3,10,29.73
3,10,30.39
3,10,30.92
3,10,28.89
3,10,26.69
3,10,24.88
3,10,23.39
3,10,22.17
3,10,21.17
3,10,20.36
3,10,19.69
3,10,19.14
3,10,18.69
3,10,18.33
3,10,18.03
3,10,17.78
3,10,17.58
3,10,17.42
3,10,17.29
3,10,17.17
3,10,17.09
3,10,17.01
3,10,16.95
3,10,16.91
3,10,16.86
3,10,16.83
3,10,16.80
3,10,16.78
3,10,17.38
3,10,19.72
3,10,22.19
3,10,24.22
3,10,25.87
3,10,27.23
3,10,28.33
3,10,29.24
3,10,29.98
3,10,30.59
3,10,31.09
3,10,31.50
3,10,31.83
3,10,32.11
3,10,32.33
3,10,32.53
3,10,29.65
3,10,27.30
3,10,25.37
3,10,23.79
3,10,22.50
3,10,21.44
3,10,20.58
4,10,16.67
4,10,18.50
4,10,18.17
4,10,17.90
4,10,17.67
4,10,18.05
4,10,17.80
4,10,17.59
4,10,17.43
4,10,17.29
4,10,17.18
4,10,17.08
4,10,17.01
4,10,16.95
4,10,16.90
4,10,16.85
4,10,16.82
4,10,16.79
4,10,16.77
4,10,16.76
4,10,16.75
4,10,16.74
4,10,16.72
4,10,16.71
4,10,16.73
4,10,16.72
4,10,16.71
4,10,16.72
4,10,16.71
4,10,16.71
4,10,16.70
4,10,16.70
4,10,16.69
4,10,19.71
4,10,22.18
4,10,24.20
4,10,25.86
4,10,27.23
4,10,28.34
4,10,29.25
4,10,28.71
4,10,26.53
4,10,24.75
4,10,23.29
4,10,22.10
4,10,21.11
4,10,20.31
4,10,19.65
4,10,19.12
4,10,18.68
4,10,18.32
4,10,18.02
4,10,17.77
4,10,17.57
4,10,17.41
4,10,17.27
4,10,17.17
4,10,17.08
4,10,17.00
4,10,16.94
4,10,16.89
4,10,16.85
4,10,16.82
4,10,16.79
4,10,16.78
4,10,16.76
4,10,16.74
4,10,16.73
4,10,16.72
4,10,16.71
4,10,16.71
4,10,16.70
4,10,16.70
4,10,16.69
4,10,16.72
4,10,16.71
4,10,16.70
4,10,16.70
4,10,16.69
4,10,16.69
4,10,16.69
4,10,16.69
4,10,17.25
4,10,20.17
4,10,22.58
4,10,22.64
4,10,21.56
4,10,20.67
4,10,19.95
4,10,19.35
4,10,18.87
4,10,18.47
4,10,18.14
4,10,17.87
4,10,17.66
4,10,17.48
4,10,17.33
4,10,17.21
4,10,17.11
4,10,17.03
4,10,16.96
4,10,16.92
4,10,16.87
4,10,16.83
4,10,16.80
4,10,16.78
4,10,16.76
4,10,16.75
4,10,16.74
4,10,16.73
4,10,16.72
4,10,16.71
4,10,16.71
4,10,16.71
4,10,16.70
4,10,16.69
4,10,16.70
4,10,17.27
4,10,19.65
4,10,22.13
4,10,24.18
4,10,25.84
4,10,27.20
4,10,28.31
4,10,29.23
4,10,29.98
4,10,30.59
4,10,31.09
4,10,31.49
4,10,31.83
4,10,32.10
4,10,29.35
4,10,27.06
4,10,25.18
4,10,23.64
4,10,22.61
4,10,21.54
4,10,20.66
4,10,19.94
4,10,19.35
4,10,18.87
4,10,18.47
4,10,18.14
4,10,17.87
4,10,17.65
4,10,17.48
4,10,17.33
4,10,17.22
4,10,17.12
4,10,17.03
4,10,16.97
4,10,16.91
4,10,16.89
4,10,16.85
4,10,16.82
4,10,16.80
4,10,16.78
4,10,16.76
4,10,16.74
4,10,16.73
4,10,16.72
5,10,33.33
5,10,33.34
5,10,33.34
5,10,33.34
5,10,33.34
5,10,31.51
5,10,28.82
5,10,26.62
5,10,24.81
5,10,23.34
5,10,22.13
5,10,21.14
5,10,20.33
5,10,19.67
5,10,19.12
5,10,18.68
5,10,18.31
5,10,18.02
5,10,17.77
5,10,17.58
5,10,17.42
5,10,17.28
5,10,17.17
5,10,17.09
5,10,17.01
5,10,16.95
5,10,16.90
5,10,16.86
5,10,16.83
5,10,16.80
5,10,16.77
5,10,16.76
5,10,16.74
5,10,16.74
5,10,16.73
5,10,16.72
