Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
65;508864;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
66;487915;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1173;0;0;0;0;
67;493125;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
68;488426;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
69;475572;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
70;464191;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
71;476333;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
72;482474;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1133;0;0;0;0;
73;494047;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
74;3611673;497278976;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
75;10215198;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1272;0;0;0;0;
76;1245345;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1453;0;0;0;0;
77;544852;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
78;613321;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1183;0;0;0;0;
79;534693;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1282;0;0;0;0;
80;537057;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
81;507692;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
82;507893;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1132;0;0;0;0;
83;563617;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
84;538179;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1162;0;0;0;0;
85;507091;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
86;518242;498348032;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
87;532339;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
88;535865;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
89;519454;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
90;514775;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
91;519264;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
92;558678;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
93;584045;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
94;500048;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1163;0;0;0;0;
95;528761;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
96;527539;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
97;508143;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
98;508744;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
99;521057;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
100;528992;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1173;0;0;0;0;
101;502592;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
102;503744;498671616;9527296;447455232;0;0;0;0;0;0;0;0;0;1142;0;0;0;0;
103;512411;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1112;0;0;0;0;
104;527520;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1172;0;0;0;0;
105;500479;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1163;0;0;0;0;
106;530976;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1153;0;0;0;0;
107;505488;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1152;0;0;0;0;
108;590196;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1173;0;0;0;0;
109;530255;498941952;9527296;447455232;0;0;0;0;0;0;0;0;0;1182;0;0;0;0;
