Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
81901,5073324,42543710208,123936768,149176553472,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81902,3240237,42548137984,123936768,149193330688,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81903,8535778,42548371456,123936768,149193330688,3495295,0,1409693,107923,0,0,0,0,0,4549,0.0,267.0,0.0,100.0
81904,5040563,42548371456,123936768,149193330688,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81905,2084218,42548371456,123936768,149193330688,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81906,9608079,42552836096,123936768,149210107904,4963238,0,1394866,108173,0,0,0,0,0,4358,0.0,267.0,0.0,100.0
81907,5174234,42552836096,123936768,149210107904,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81908,2374783,42552836096,123936768,149210107904,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81909,7543848,42552836096,123936768,149210107904,2982233,0,1404925,86642,0,0,0,0,0,4528,0.0,267.0,0.0,100.0
81910,5150338,42552836096,123936768,149210107904,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81911,2445766,42557030400,123936768,149226885120,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81912,7709789,42557030400,123936768,149226885120,3061111,0,1481328,101470,0,0,0,0,0,4729,0.0,267.0,0.0,100.0
81913,5065310,42557030400,123936768,149226885120,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81914,2851277,42557571072,123928576,149226876928,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81915,4752623,42557571072,123928576,149226876928,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81916,7960278,42557571072,123928576,149226876928,3610852,0,1434179,125746,0,0,0,0,0,5410,0.0,267.0,0.0,100.0
81917,6401065,42559668224,123928576,149226876928,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81918,13999414,42566213632,123928576,149243654144,5327741,0,1410826,106570,0,0,0,0,0,4429,0.0,267.0,0.0,100.0
81919,3123347,42566213632,123928576,149243654144,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81920,9147034,42570674176,123928576,149260431360,4341973,0,1398412,93275,0,0,0,0,0,4569,0.0,267.0,0.0,100.0
81921,4856498,42570928128,123928576,149260431360,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81922,2428574,42570928128,123928576,149260431360,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81923,8436381,42570928128,123928576,149260431360,3613758,0,1402530,93275,0,0,0,0,0,5140,0.0,267.0,0.0,100.0
81924,5239757,42575122432,123928576,149277208576,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81925,2520337,42575380480,123928576,149277208576,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81926,8446000,42579816448,123928576,149293985792,3484344,0,1394956,104466,0,0,0,0,0,4638,0.0,267.0,0.0,100.0
81927,5234417,42580332544,123928576,149293985792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81928,2363853,42580332544,123928576,149293985792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81929,7603821,42580332544,123928576,149293985792,2982233,0,1399945,94498,0,0,0,0,0,5099,0.0,267.0,0.0,100.0
81930,4884250,42580332544,123928576,149293985792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81931,2123522,42580332544,123928576,149293985792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81932,4450356,42580332544,123928576,149293985792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81933,6626478,42580328448,123924480,149293981696,3119109,0,1396258,106069,0,0,0,0,0,4990,0.0,267.0,0.0,100.0
81934,5761896,42580328448,123924480,149293981696,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81935,8436692,42584522752,123924480,149310758912,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81936,6053282,42584522752,123924480,149310758912,3284179,0,1416366,116217,0,0,0,0,0,4438,0.0,267.0,0.0,100.0
81937,5878815,42584522752,123924480,149310758912,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81938,9616645,42584772608,123920384,149310754816,3044820,0,1407670,96952,0,0,0,0,0,4238,0.0,267.0,0.0,100.0
81939,8863843,42585030656,123920384,149310754816,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81940,6084671,42585030656,123920384,149310754816,2977493,0,1405396,101180,0,0,0,0,0,4759,0.0,267.0,0.0,100.0
81941,5151641,42585030656,123920384,149310754816,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81942,4938792,42589224960,123924480,149327536128,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81943,5504262,42547879936,71589888,149275201536,3026847,0,1402000,99887,0,0,0,0,0,4378,0.0,267.0,0.0,100.0
81944,8946669,42548129792,71589888,149275201536,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81945,7390420,42548129792,71589888,149275201536,2944953,0,1400176,93084,0,0,0,0,0,3958,0.0,267.0,0.0,100.0
81946,7350304,42548355072,71589888,149275201536,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81947,6095612,42548355072,71593984,149275205632,2958909,0,1399354,104926,0,0,0,0,0,4549,0.0,267.0,0.0,100.0
81948,5803083,42548355072,71593984,149275205632,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81949,6781999,42552811520,71593984,149291982848,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81950,7643674,42552811520,71593984,149291982848,3023410,0,1398533,109174,0,0,0,0,0,4578,0.0,267.0,0.0,100.0
81951,5865129,42552811520,71593984,149291982848,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81952,2399650,42552811520,71593984,149291982848,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81953,7750285,42553061376,71593984,149291982848,3050110,0,1409283,137088,0,0,0,0,0,4659,0.0,267.0,0.0,100.0
81954,6786467,42571161600,123928576,149361094656,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81955,5476350,42571427840,123928576,149361094656,3038659,0,1407199,107041,0,0,0,0,0,4609,0.0,267.0,0.0,100.0
81956,5163784,42571427840,123928576,149361094656,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81957,4910189,42577956864,123928576,149377871872,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81958,2139553,42578137088,123924480,149377867776,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81959,7580416,42578407424,123924480,149377867776,2987292,0,1397461,102543,0,0,0,0,0,5130,0.0,267.0,0.0,100.0
81960,6338557,42597539840,123924480,149394644992,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81961,3885477,42615111680,123924480,149411422208,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81962,7807542,42615341056,123924480,149411422208,3019924,0,1396909,94857,0,0,0,0,0,4359,0.0,267.0,0.0,100.0
81963,5091519,42620035072,123924480,149428199424,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81964,2076524,42620035072,123924480,149428199424,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81965,8653198,42620293120,123924480,149428199424,3048787,0,1404865,115237,0,0,0,0,0,4709,0.0,267.0,0.0,100.0
81966,7116756,42628681728,123924480,149461753856,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81967,5253442,42628681728,123924480,149461753856,2938641,0,1394826,97053,0,0,0,0,0,4939,0.0,267.0,0.0,100.0
81968,5154787,42628681728,123924480,149461753856,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81969,4833294,42628681728,123924480,149461753856,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81970,5084024,42628681728,123924480,149461753856,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81971,6728158,42628681728,123924480,149461753856,3211163,0,1470448,142166,0,0,0,0,0,4679,0.0,267.0,0.0,100.0
81972,5929791,42628681728,123924480,149461753856,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81973,7242622,42633125888,123924480,149478531072,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81974,7950730,42633125888,123924480,149478531072,3083693,0,1404063,111680,0,0,0,0,0,4648,0.0,267.0,0.0,100.0
81975,7141503,42633371648,123932672,149478539264,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81976,6556556,42633633792,123944960,149478551552,3458296,0,1399735,115186,0,0,0,0,0,4649,0.0,267.0,0.0,100.0
81977,5126424,42633633792,123944960,149478551552,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81978,10709695,42638090240,123944960,149495328768,3631841,0,1395938,81092,0,0,0,0,0,4860,0.0,267.0,0.0,100.0
81979,5834702,42638331904,123944960,149495328768,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81980,8709293,42638843904,123944960,149495328768,3550388,0,1418861,108333,0,0,0,0,0,4148,0.0,267.0,0.0,100.0
81981,4972906,42638843904,123944960,149495328768,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81982,2876024,42643288064,123944960,149512105984,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81983,7873455,42643812352,123944960,149512105984,2971172,0,1398423,95840,0,0,0,0,0,4128,0.0,267.0,0.0,100.0
81984,5439040,42643812352,123944960,149512105984,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81985,3072533,42643824640,123936768,149512097792,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81986,11568085,42648825856,123936768,149528875008,6080383,0,1440261,129193,0,0,0,0,0,5551,0.0,267.0,0.0,100.0
81987,7047437,42648825856,123936768,149528875008,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81988,6956777,42649354240,123936768,149528875008,3972721,0,1471409,93766,0,0,0,0,0,4339,0.0,267.0,0.0,100.0
81989,5121365,42649612288,123936768,149528875008,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81990,3952242,42649862144,123936768,149545652224,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
81991,6610827,42654056448,123936768,149545652224,3001509,0,1395988,92263,0,0,0,0,0,4559,0.0,267.0,0.0,100.0
81992,5664644,42654588928,123936768,149545652224,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,100.0
