Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
79411,19186271,4230529024,85876736,12907487232,15308710,909596,190778,493036,0,0,0,0,0,20819,0.0,2226.0,0.0,1.0
79412,24192811,4230529024,85876736,12924264448,19236967,0,98395,473918,0,0,0,0,0,4308,0.0,2226.0,0.0,1.0
79413,6377771,4234985472,85876736,12924264448,2270678,0,101891,312266,0,0,0,0,0,4939,0.0,2226.0,0.0,1.0
79414,7383196,4235255808,85876736,12924264448,2247375,0,102603,231194,0,0,0,0,0,4970,0.0,2226.0,0.0,1.0
79415,4061597,4235317248,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79416,4799240,4235317248,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79417,6245673,4235317248,85872640,12924260352,2234981,0,107061,262723,0,0,0,0,0,5270,0.0,2226.0,0.0,1.0
79418,5232163,4235579392,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79419,4253537,4235579392,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79420,5144407,4235579392,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79421,6130627,4235579392,85872640,12924260352,1950608,0,121789,177683,0,0,0,0,0,5129,0.0,2226.0,0.0,1.0
79422,5066371,4235579392,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79423,4296878,4235845632,85872640,12924260352,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79424,7184884,4235845632,85872640,12924260352,2189857,0,108122,265308,0,0,0,0,0,5080,0.0,2226.0,0.0,1.0
79425,3810536,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79426,4767451,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79427,4934885,4235845632,85876736,12924264448,1736977,0,99317,228869,0,0,0,0,0,3848,0.0,2226.0,0.0,1.0
79428,4404280,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79429,2281098,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79430,1909952,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79431,4278002,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79432,4754867,4235845632,85876736,12924264448,1573360,0,100428,135975,0,0,0,0,0,4769,0.0,2226.0,0.0,1.0
79433,4451268,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79434,2471665,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79435,4523634,4235845632,85876736,12924264448,0,0,0,0,0,0,0,0,0,0,0.0,2226.0,0.0,1.0
79436,4694895,4235845632,85876736,12924264448,1582658,0,99056,135945,0,0,0,0,0,4048,0.0,2226.0,0.0,1.0
