Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
93724,4872919,1880649728,96620544,4663840768,1188559,366166,36608,0,0,0,0,0,0,7965,0.0,742.0,0.0,1.0
93725,1685742,1880649728,96620544,4663840768,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93726,4261732,1880649728,96620544,4663840768,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93727,1940139,1880649728,96620544,4663840768,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93728,4246744,1880649728,96620544,4663840768,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93729,3216853,1880649728,96616448,4663836672,1193248,0,34535,0,0,0,0,0,0,2715,0.0,742.0,0.0,1.0
93730,3642270,1880915968,96616448,4663836672,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93731,1772754,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93732,4255831,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93733,1924369,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93734,5145820,1851895808,55033856,4622254080,834635,0,35486,0,0,0,0,0,0,2555,0.0,742.0,0.0,1.0
93735,1947843,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93736,4236735,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93737,1930941,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93738,4227168,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93739,2713278,1851895808,55037952,4622258176,764474,0,34494,0,0,0,0,0,0,2715,0.0,742.0,0.0,1.0
93740,3650506,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93741,1598598,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93742,4242617,1851895808,55037952,4622258176,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93743,2083918,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93744,4238689,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93745,2940104,1851895808,55033856,4622254080,952286,0,35636,0,0,0,0,0,0,2645,0.0,742.0,0.0,1.0
93746,3908249,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93747,1593579,1851895808,55033856,4622254080,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93748,5765964,1868165120,96616448,4663836672,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93749,3745344,1880748032,96616448,4663836672,795673,0,36990,0,0,0,0,0,0,2675,0.0,742.0,0.0,1.0
93750,4206409,1880748032,96616448,4663836672,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93751,2147548,1880748032,96616448,4663836672,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93752,4745900,1880748032,96616448,4663836672,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93753,3424782,1880748032,96620544,4663840768,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93754,6289996,1880748032,96620544,4663840768,1304546,0,58580,0,0,0,0,0,0,4168,0.0,742.0,0.0,1.0
93755,3519270,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93756,5158393,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93757,3025544,1856102400,55046144,4639043584,821721,0,36839,0,0,0,0,0,0,2715,0.0,742.0,0.0,1.0
93758,4313089,1856102400,55046144,4639043584,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93759,2083848,1856102400,55046144,4639043584,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93760,4272753,1856102400,55046144,4639043584,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93761,1890185,1856102400,55046144,4639043584,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93762,4726845,1856102400,55046144,4639043584,776797,0,35156,0,0,0,0,0,0,2445,0.0,742.0,0.0,1.0
93763,1650365,1856098304,55042048,4639039488,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93764,4223260,1856098304,55042048,4639039488,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93765,1912056,1856094208,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93766,4198524,1856094208,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93767,2708008,1856090112,55033856,4639031296,767610,0,34985,0,0,0,0,0,0,2635,0.0,742.0,0.0,1.0
93768,3785189,1856090112,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93769,1565786,1856090112,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93770,4201579,1856090112,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93771,1843697,1856090112,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93772,4193845,1856090112,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93773,2675969,1856090112,55033856,4639031296,793829,0,35447,0,0,0,0,0,0,2415,0.0,742.0,0.0,1.0
93774,5255356,1872359424,96616448,4680613888,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93775,2299552,1884942336,96616448,4680613888,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93776,4157307,1884942336,96616448,4680613888,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93777,1927865,1884942336,96616448,4680613888,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93778,5302334,1884942336,96616448,4680613888,991780,0,35527,0,0,0,0,0,0,3226,0.0,742.0,0.0,1.0
93779,1998508,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93780,4228740,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93781,1870057,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93782,4198664,1884942336,96620544,4680617984,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93783,2860104,1856106496,55037952,4639035392,766839,0,38623,0,0,0,0,0,0,3226,0.0,742.0,0.0,1.0
93784,4025129,1856106496,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93785,1511866,1856106496,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93786,4218351,1856106496,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93787,2859713,1856102400,55033856,4639031296,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93788,6227058,1856102400,55033856,4639031296,1277796,0,45906,0,0,0,0,0,0,4398,0.0,742.0,0.0,1.0
93789,3286383,1856102400,55037952,4639035392,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93790,5039490,1860296704,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93791,1915934,1860296704,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93792,4585539,1860296704,55037952,4655812608,744225,0,35507,0,0,0,0,0,0,2595,0.0,742.0,0.0,1.0
93793,7661408,1860296704,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93794,7272228,1860296704,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93795,2849374,1860296704,55037952,4655812608,911339,0,35136,0,0,0,0,0,0,3326,0.0,742.0,0.0,1.0
93796,4267764,1860562944,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93797,2000551,1860562944,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93798,4217800,1860562944,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93799,2708800,1860562944,55037952,4655812608,747682,0,35527,0,0,0,0,0,0,3056,0.0,742.0,0.0,1.0
93800,5820075,1876832256,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93801,2391595,1889681408,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93802,4180009,1889681408,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93803,2040918,1889681408,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93804,5055611,1889951744,96620544,4697395200,726473,0,35326,0,0,0,0,0,0,2816,0.0,742.0,0.0,1.0
93805,1930290,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93806,4233279,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93807,1857764,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93808,4209615,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93809,2891142,1861103616,55037952,4655812608,733395,0,35938,0,0,0,0,0,0,2705,0.0,742.0,0.0,1.0
93810,4259298,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93811,1955398,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93812,4255951,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93813,1915883,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93814,5207225,1861103616,55037952,4655812608,880822,0,35697,0,0,0,0,0,0,2695,0.0,742.0,0.0,1.0
93815,1913498,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93816,4252675,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93817,2600707,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93818,4882727,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93819,4432773,1861103616,55037952,4655812608,1146170,0,45546,0,0,0,0,0,0,4048,0.0,742.0,0.0,1.0
93820,4956335,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93821,1900283,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93822,4242015,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93823,2653907,1861103616,55037952,4655812608,736952,0,34375,0,0,0,0,0,0,2835,0.0,742.0,0.0,1.0
93824,4236876,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93825,1885927,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93826,5615331,1877372928,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93827,3605902,1889955840,96620544,4697395200,875331,0,35787,0,0,0,0,0,0,2574,0.0,742.0,0.0,1.0
93828,4235022,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93829,1978941,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93830,4239741,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93831,1891077,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93832,4178567,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93833,2648968,1889955840,96620544,4697395200,741421,0,35827,0,0,0,0,0,0,3256,0.0,742.0,0.0,1.0
93834,4214253,1889955840,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93835,2139934,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93836,4372280,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93837,2664827,1861103616,55037952,4655812608,782698,0,36588,0,0,0,0,0,0,2365,0.0,742.0,0.0,1.0
93838,4226406,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93839,1886718,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93840,4198103,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93841,1810936,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93842,4195568,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93843,2621075,1861103616,55037952,4655812608,768271,0,35497,0,0,0,0,0,0,2575,0.0,742.0,0.0,1.0
93844,4216247,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93845,1913989,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93846,4204586,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93847,1865488,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93848,4392648,1861103616,55037952,4655812608,766197,0,35687,0,0,0,0,0,0,2685,0.0,742.0,0.0,1.0
93849,1566047,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93850,4235904,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93851,2919215,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93852,6655422,1877372928,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93853,3548365,1890136064,96616448,4697391104,730821,0,36148,0,0,0,0,0,0,2535,0.0,742.0,0.0,1.0
93854,4220726,1890136064,96616448,4697391104,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93855,1998518,1890136064,96616448,4697391104,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93856,4255761,1890136064,96616448,4697391104,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93857,2748074,1890136064,96620544,4697395200,777498,0,36218,0,0,0,0,0,0,2685,0.0,742.0,0.0,1.0
93858,4271440,1890136064,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93859,1889333,1890136064,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93860,4203172,1890136064,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93861,2088997,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93862,4434175,1861103616,55037952,4655812608,747742,0,35697,0,0,0,0,0,0,2614,0.0,742.0,0.0,1.0
93863,1620739,1861099520,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93864,4196350,1861099520,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93865,1843127,1861099520,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93866,4234972,1861099520,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93867,1885185,1861099520,55033856,4655808512,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93868,5063637,1861099520,55033856,4655808512,766177,0,35036,0,0,0,0,0,0,2745,0.0,742.0,0.0,1.0
93869,1881949,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93870,4231496,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93871,1860760,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93872,4173747,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93873,2597992,1861099520,55037952,4655812608,737994,0,35046,0,0,0,0,0,0,2835,0.0,742.0,0.0,1.0
93874,4227799,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93875,1861340,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93876,4193494,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93877,1830693,1861099520,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93878,6494019,1877368832,96620544,4697395200,877546,0,34896,0,0,0,0,0,0,2675,0.0,742.0,0.0,1.0
93879,2663224,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93880,4188766,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93881,1967089,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93882,4364275,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93883,4452200,1889951744,96620544,4697395200,1158743,0,46146,0,0,0,0,0,0,4638,0.0,742.0,0.0,1.0
93884,4961404,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93885,3262379,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93886,4820100,1889951744,96620544,4697395200,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93887,3153734,1861103616,55037952,4655812608,848431,0,35406,0,0,0,0,0,0,2685,0.0,742.0,0.0,1.0
93888,4246263,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93889,1966338,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93890,4223661,1861103616,55037952,4655812608,0,0,0,0,0,0,0,0,0,0,0.0,742.0,0.0,1.0
93891,2963357,1861103616,55037952,4655812608,949261,0,35487,0,0,0,0,0,0,2795,0.0,742.0,0.0,1.0
