Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
56228,5102476,16338034688,41431040,35708379136,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56229,7252067,16338092032,41431040,35725156352,1979426,0,500468,0,0,0,0,0,0,4138,400.0,775.0,0.0,89.0,0.0,70.0
56230,4443811,16338092032,41426944,35725152256,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56231,5164081,16338092032,41426944,35725152256,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56232,11813210,16347549696,79835136,35763560448,2293820,0,502156,0,0,0,0,0,0,4294,400.0,775.0,0.0,89.0,0.0,70.0
56233,2949859,16347549696,79835136,35763560448,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56234,5662084,16347607040,79835136,35763560448,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56235,4869660,16347607040,79835136,35763560448,2013691,0,512571,0,0,0,0,0,0,4263,400.0,775.0,0.0,89.0,0.0,70.0
56236,5537171,16347860992,79835136,35780337664,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56237,3519100,16348106752,79831040,35780333568,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56238,7213427,16348123136,79831040,35780333568,1893060,0,509167,0,0,0,0,0,0,4804,400.0,775.0,0.0,89.0,0.0,70.0
56239,4362563,16348123136,79835136,35780337664,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56240,6533483,16348123136,79835136,35780337664,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
56241,12438271,16338419712,41426944,35741929472,2223439,0,489134,0,0,0,0,0,0,4764,400.0,775.0,0.0,89.0,0.0,70.0
56242,6482215,16338419712,41426944,35741929472,0,0,0,0,0,0,0,0,0,0,400.0,775.0,0.0,89.0,0.0,70.0
