filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
players_1-Layer_80p_300s.csv,10447518.484194517,2244235.1675417316,0.0,385539.4398015715,0.0,416306.3687583735,300.16305174349134,11.695586052069377,397734.01998768875,17561.60705362639,2876.5991237281382,8203283.316652786,1439512.7598580585,698.8830792627996
players_1-Layer_90p_300s.csv,12735969.152737372,3221982.6236004583,0.0,519031.7330953011,0.0,638720.8827029886,444.70096094507625,16.538173322754123,610908.0297099532,26350.711363836726,3511.369390813718,9513986.529136913,2060718.638411355,1000.9024949307786
players_1-Layer_60p_300s.csv,7851158.810431106,1181474.8267280366,0.0,208452.27153522972,0.0,183865.14027669994,152.74497578206535,5.257566432069362,175187.47833765956,8200.120153068052,2060.1900238165326,6669683.983703069,787097.2248922904,319.5392437581904
players_1-Layer_70p_300s.csv,7793234.404812493,1378892.0795176884,0.0,234295.50910974183,0.0,194130.8678954637,146.30564113460107,5.349012004674386,183991.9385690003,9649.79637203867,2047.117629873579,6414342.325294805,948418.5848826093,337.478301285475
players_1-Layer_50p_300s.csv,6223493.016676493,815842.5532931862,0.0,131329.0320896151,0.0,94165.86037648446,76.78813273814538,2.9455487239956204,89421.84508969932,4483.690747915439,1605.9488334877453,5407650.463383307,588741.711993599,180.5908574075729
players_1-Layer_40p_300s.csv,6488251.683367656,762865.4383954783,0.0,116659.9721114665,0.0,107263.8634710599,88.03424177364938,3.1175349428208388,101792.25756911887,5184.08173772072,1665.789181965561,5725386.244972177,537275.8136309864,196.3723875038413
players_1-Layer_30p_300s.csv,5299206.623603639,561011.2107633738,0.0,75108.41217894868,0.0,68305.57000125114,59.47904341453824,1.9652719440919408,64537.096695204564,3586.9238234820996,1324.0674364153067,4738195.412840266,416273.16114675865,120.10516720583837
players_1-Layer_20p_300s.csv,5227565.512729645,510988.82167918474,0.0,52702.62449310625,0.0,73386.47988292958,55.57033040657287,2.0988575055537924,69643.48991501816,3559.6925314714904,1318.5908882541698,4716576.69105046,383581.1264148947,125.62824852780614
players_1-Layer_10p_300s.csv,4558242.416653857,367990.7643957328,0.0,26306.15820702801,0.0,53004.89574814769,49.97975528022873,1.8155378608540598,50176.11010852522,2683.331263258216,1097.7233990223506,4190251.6522581237,287581.98704153474,93.65908322316682
players_1-Layer_100p_300s.csv,4922680.070786434,477150.7604916336,9.908878257113283,3609.0543388783385,0.0,15767.84125418728,25.67036424245882,81.67904444426333,14438.750711124514,1113.4183368244317,1103.9649287245402,4445529.3102948,456659.99109158636,108.3227975516129
