filename,Main Thread,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,players,Chunks,Main Thread_other,ServerFixedUpdate_other,TerrainLogicSystem_other
players-activeLogic_Empty_10p_300s.csv,3711993.115624285,206274.95443446856,0.0,20055.174008698526,0.0,907.1462344532899,40.9386397741435,0.19834931454587074,798.0692830073505,6.57936770353791,998.4390848742274,10,25,3505718.1611898164,184314.19510644252,61.36059465371227
players-activeLogic_Empty_20p_300s.csv,3648799.468644122,218497.03888001022,0.0,30710.908534168637,0.0,1269.1338490059452,34.168471520808026,0.1734705619126766,1172.4763024995204,7.764866074282427,984.7115514926804,20,25,3430302.429764112,185532.28494534295,54.550738349421636
players-activeLogic_Empty_30p_300s.csv,3826179.645052033,274259.2655678366,0.0,47335.98700795036,0.0,1211.154779910801,40.65371339926314,0.1906146984681016,1102.1236119190744,6.412746428802275,990.683795488333,30,25,3551920.379484196,224721.43998448708,61.77409346519312
players-activeLogic_Empty_40p_300s.csv,3815891.7098757476,311852.93577283976,0.0,62103.677858836876,0.0,1493.1370127861414,40.17609300886781,0.2112162301505465,1275.132707774799,115.99447050938338,1000.4404903072799,40,25,3504038.7741029076,247255.68041090947,61.622525262940826
players-activeLogic_Empty_50p_300s.csv,3893222.143947469,408077.1407366468,0.0,74126.83678759886,0.0,2317.192004526733,38.71501322490229,0.2115063229507981,2007.6441119576803,30.588725277328177,1039.29898806469,50,25,3485145.003210822,330593.8129564565,240.03264774387162
players-activeLogic_Empty_60p_300s.csv,3934463.567785664,381798.48278892634,0.0,89249.49866173083,0.0,1123.5066913458593,39.335965484639864,0.21625364528543084,931.6264564496585,6.701972116063225,1002.4748924724024,60,25,3552665.0849967375,290423.0025433772,145.6260436502123
players-activeLogic_Empty_70p_300s.csv,3964778.11258956,422369.64884447557,0.0,104616.29080698163,0.0,1728.7853391154447,40.730404568227115,0.19736842105263158,1473.431894090395,6.620804826806012,1008.0583957334483,70,25,3542408.4637450846,315016.51430264505,207.80486720896397
players-activeLogic_Empty_80p_300s.csv,4148919.2975968337,578009.8745547074,0.0,130721.44543398361,0.0,3845.37417302799,49.60171048911507,0.23302233531241165,3066.2296579021768,7.690288379983037,1060.6561210065026,80,25,3570909.423042126,442382.39882668934,721.6194939214024
players-activeLogic_Empty_90p_300s.csv,4643964.694048657,632887.1658927015,0.0,192593.08694825263,0.0,2321.8667564783264,61.15907758142484,0.30351057928520486,1897.1773357635311,9.569062524764245,1304.7107694746019,90,25,4011077.5281559555,436667.5014184959,353.657770029321
players-activeLogic_Empty_100p_300s.csv,5023129.635695674,750519.6809623068,0.0,240423.28487059232,0.0,4686.517248566962,73.76624978287302,0.417074865381275,3669.970297029703,10.949852353656418,1406.0141219385096,100,25,4272609.954733368,504003.86472120904,931.4137745353482
