Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),Unnamed: 21
7885,1088297,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7886,4304179,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7887,3326494,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7888,1732380,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7889,1095645,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7890,2718581,412205056,16429056,501542912,1613056,0,35410,0,0,0,0,0,0,4876,378.0,558.0,0.0,76.0,0.0,1.0,
7891,1141630,412205056,16429056,501542912,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7892,3980962,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7893,3639953,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7894,1691988,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7895,999243,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7896,1525595,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7897,982279,412930048,16429056,518320128,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7898,5476049,413159424,16433152,518324224,3919580,0,38223,0,0,0,0,0,0,4637,378.0,558.0,0.0,76.0,0.0,1.0,
7899,3241505,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7900,1653724,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7901,1091513,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7902,1499805,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7903,1006571,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7904,4179362,413159424,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7905,4550983,413163520,16437248,518328320,1134603,0,39331,0,0,0,0,0,0,4859,378.0,558.0,0.0,76.0,0.0,1.0,
7906,1770499,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7907,1107625,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7908,1587913,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7909,1100388,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7910,4100489,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7911,3558290,413401088,16437248,518328320,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7912,3068818,413401088,16433152,518324224,1759620,0,35736,0,0,0,0,0,0,4974,378.0,558.0,0.0,76.0,0.0,1.0,
7913,1263624,413401088,16433152,518324224,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7914,1735392,413401088,16433152,518324224,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7915,1171217,413401088,16433152,518324224,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7916,4196614,413401088,16433152,518324224,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7917,2933455,413401088,16433152,518324224,0,0,0,0,0,0,0,0,0,0,378.0,558.0,0.0,76.0,0.0,1.0,
7918,2752445,413396992,16429056,518320128,1603125,0,34667,0,0,0,0,0,0,4385,378.0,558.0,0.0,76.0,0.0,1.0,
